raw,rate,human_rate
"Excelente Trabajo Muy efectivo, funcionó perfecto.",positive,positive
Decepcionante Pésima experiencia... te mienten con la ubicación donde se encuentra el producto... Algunas teclas están defectuosas y la batería es de corta duración ! NO lo recomiendo para nada en lo absoluto!! Muy decepcionado...,negative,negative
"Excelente Perfecto, ya está instalado y funcionando",positive,positive
"Decepcionante Mala calidad, no va acorde al valor Es modal , las terminaciones sin dobladillo. Un terrible chasco,no lo recomiendo.",negative,negative
Deformes Nonson lo que esperaba..... Muy mala calidad,negative,negative
Muy buena calidad y gran producto Exelente producto y muy buen trato del vendedor,positive,positive
espectacular compra excelente producto. totalmente recomendable,positive,positive
"Muy malo Sonido muy malo, es precio es accesible, pero no vale la pena, pésima compra.",negative,negative
"falta talles disponibles Eran botines  color amarillos  que resultaron ser un talle mas de lo esperado y cuando quisimos cambiar no había talles disponibles  y ademas nos cobraban el envió de cambio, así que optamos por la devolución de la mercadería la cual no tenes todavía novedades del reintegro del dinero.  esperamos una respuesta del reintegro del dinero muchas gracias",negative,negative
"Buen producto Muy bueno, un libro muy entretenido y con datos para los que nos gusta navegar",positive,positive
Malo Promocionada para guardar euros pero en realidad es bastante pequeña para guardar euros. Lamento mi decisión de compra.,negative,negative
"Pesima terminacion Tiene la superficie arrugada por el pegamento, y esta despegado en varios puntos del Ecuador",negative,negative
de muy mala calidad de muy mala calidad pierde por todas partes y no lo pude utilizar,negative,negative
Mal... No sé escuchaba El muñeco está muy bueno... Pero el audio no se escuchaba mucho y no pasó una hora y ya no se escuchaba la canción.,negative,negative
"Fácil de disimular Justo lo que necesitaba, ideal para espacios chicos",positive,positive
