raw,rate
"Brackets plasticos, NO metalicos. Atencion. En mi caso los brackets llegaron de un plastico duro, lo cual no es lo correcto, aunque cumple su funcion. Lo demas todo bien, solo ese gran detalle, que espero con el tiempo no se rempan, ya que lo mas dificil de conseguir no es el puerto serie, sino el bracket low profile. Otra cosa a tener en cuenta, es que el bracket al no ser metalico, la parte donde se atornilla, es mas gruesa, por lo tanto, necesitas un tornillo mas largo que los normales, y el tornillo puede molestar al momento de poner la tapa del gabinete.",negative
Excelente producto Excelente producto.  Facil de instalar y de usar.  Muy rapida y silenciosa.,positive
Excelente Exelente producto . Superó mis expectativas.,positive
Excelente Muy buen prdocuto. Fácil y sencillo de instalar!,positive
"Excelente Es de muy buena calidad, buenas cuerdas y muy buen sonido.",positive
"Excelente Muy practica y recomendable, cumplio con todas mis espectativas.",positive
Muy buen producto mucho más de lo que esperaba Muy buen producto entrega inmediata súper recomendable,positive
Hermosooo Muy buena calidad....no especificaba que traía pilas y no bateria!,positive
"Regular Le escribí al vendedor para asesorarme en cuanto al uso y no respondió. El control no sirve para Smart. Tenemos que usar una app del celular para poder entrar a ver Netflix y demás programas.   Para ser un buen vendedor no solo se necesita despachar...hay que estar para el cliente cuanto esté lo precisa, generar empatía para que el cliente vuelva. Sino no vuelve. En cuanto al envío está perfecto, llegó en fecha.",negative
Excelente Cumplió en tiempo y forma con el servicio. Muy buen profesional.,positive
"Una herramienta muy útil Muy bueno, cumple largamente con mis expectativas",positive
Excelente vendedor y producto de calidad Me encanto! Es precioso!!! Recomiendo 100%,positive
Todo bien Llego en termino y es lo que buscaba. Todo bien,positive
"no me gustaron muy fea calidad, son de color beige a pesar que la caja dice blanco...",negative
Excelente 10 puntos.Buenas tijeras para uso en jardin,positive
Muy exxelentes Muy buenasLlegoaron rapidisimas,negative
Muy bueno muy bueno..............................................................,positive
"Rrecomendable Buen producto, el talle es justo el solicitado muy cómodos.",positive
"Excelente Es una muy buena pedalera, me gusto mucho la cantidad y la calidad de efctos que trae, sobre todo me gusto el looper que incorpora",positive
Excelente Buen material y presentacion,positive
A mi hijo le encantaron!!!!!!! Me pareció una compra genial!!!!!!,positive
"Excelente terminación. Excelente producto, muy buena terminación. Cumple lo especificado en todos los aspectos (materiales, acabado, detalles de encendido/apagado del Kindle al abrir y cerrar, etcétera). Es para recomendar.",positive
Regular La sincronizacion de mensajes no funciona . tampoco graba el ejercicio general . No tiene sonido y tampoco pude encontrar otro similar en internet .Parece ser replica . lo demas bien,negative
Excelente Excelnte en todos aspectos!  Muy buen equipo y vendedor.,positive
Calidad y precio Muy bueno y barato rendidor y muy buen rendimiento,positive
Excelente Excelente auricular funciona a la perfección y llegó en buen estado,positive
Excelente Excelente producto y excelente velocidad de respuesta.,positive
"Excelente muy buen amortiguador, producto original",positive
"Conforme Muy bueno, cumplieron con la entrega en tiempo y forma",positive
Excelente Me quedo perfecto! Muy buena calidad.,positive
Muy mal producto Muy malo  tiene un retraso en la re epcion de 2 minutos por lo que no es practico para nada. No recomemdable,negative
Muy jueno Muy bueno. Es recomendable Muy bueno el vendedor,positive
Malo No me ha dado resultado para nada,negative
"Productos vencidos El producto primero me llego muy tarde, no por el vendedor sino por correo argentino me llego casi 10 días después de la fecha estipula, por lo cual no pude realizar las sorprendidas del cumple de mi hija. Y el segundo error fue que la mercadería estaba vencidas con fecha de julio 2019 por lo cual las tire. Una vergüenza porq es un producto para chicos",negative
"Excelente perfecto 100% recomendable, muy buen material, color, imprecion",positive
Muy bueno Es un producto de muy buena calidad.,positive
Muy buena batidora. No usar como amasadora. Muy buena batidora de mano. Es barata y sirve perfectamente para el uso hogareño. No es recomendable usarla como amasadora (aunque traiga las paletas para amasar) ya que tiene poca potencia para eso y decaería mucho la vida útil del aparato. Pero como batidora es muy buena.,positive
"En mi vw gol 2007 no funciono La verdad no lo pude usar porque no funcionaba, me devolvieron el dinero pero esperaba poder usarlo",negative
"Excelente Excelente producto, recomendable.",positive
"Decepción Llevo 2 semanas usándola y no noto diferencias en mis arrugas de expresión, la textura y la capacidad humectante sí es buena",negative
10 punto el producto así mismo la entrega La verdad increíble el producto 10 punto.100x100 recomendables.,positive
"Excelente Muy buen producto, funciona perfecto. Muy recomendable",positive
