raw,human_rate
"Bueno bien, perfecto comportamiento, negro pleno, y del rendimiento todavía no puedo hablar pero tratandose de 3 unidades por este importe ya te digo que vale la pena.",b
Regular Tengo varios modelos de ecodrive y la calidad de este no fue para nada lo que esperaba de la marca...,n
"Bueno MUY BUENA CALIDAD DEL PRODUCTO, MI HIJA ESTA SUPER FELIZ, A PESAR QUE NO FUE EL COLOR ELEGIDO ESTA MUY BONITOS",b
Bueno Todavía no ví el resultado para bajar la diabetes y colesterol si es bueno para los intestino,b
"Bueno El funcionamiento y la potencia son muy buenos. Los plásticos de la carcasa blanca y la rueda giratoria son bastante malos para el precio que tiene el producto, al punto de que casi decidimos devolverlo. Tener en cuenta que el color de la rueda y de algunas partes del producto es azul oscuro, no es negro. En las fotos no se pueden apreciar estas cosas. Los accesorios sí son de buena calidad.",n
Bueno Es útil para lograr nivelar la imagen,b
Bueno Nunca me mandaron las de frutas. Me mandaron otros modelos. Igual todo bien!!!,n
Malo No me convencio mucho el calce y me queda algo grande.,m
"Bueno Buen producto, no es igual en medidas exteriores pero funciona bien..",n
Buena La terminación es buena. Tiene problemas q a veces es como que no calzara bien en su base para el contacto y no enciende ... pero esta de acorde al precio,n
"Solo recomiendo el plato. El plato esta bueno, tiene antideslizante y contiene divisores. El tenedor no me resulto cómodo, no pincha la comida...",n
Bueno Sería bueno un regulador de velocidades y un producto con un poco más de potencia. Y la almohadilla es muy blanda y deformable,n
Muuuy buuuenaaa Muuy buenooo..... el color la tela todo buenooo,b
Bueno Color distinto al de la imagen,n
"bueno Muy bueno, facil y sencillo de usar.",b
Bueno Al parecer la calidad es buena! Estaría bárbaro si tendría los agujeros para la grifería.,n
???? Se me puso un color cobre enseguida :( ????,m
"No es mal producto pero falta seguridad Si bien la silla esta bien, le falta que agreguen la correa isofix",n
"A nada va bien Esta bueno, pero me comio como un 1mm de pantalla de todos los bordes. Estaria bueno que sea del tamaño exacto de la pantallla. Despues de unos dias te acostumbras.",n
esta bien pero se puede mejorar la calidad de la imagen es muy buena peo el sistema que bien para pegar con abrojos y eso es muy mala en dos semana tenia los cuadros en el piso asi que tuve que hacer otra cosa,m
OK Funciona muy bien. PAra una niña de 11 años es más que suficiente.,b
Bueno NO SE SI ES ORIGINAL PERO FUNCIONA 100%,b
"el envio tardo mucho el producto, bien no tuve ningun problema, todo ok",n
Bueno El producto llego sin funcionar .. el vendedor los remite sin revisar y se ampara en que el producto tiene garantia.. cuando el comprador esta a 100 Km. de la garantia se hace dificil utilizarla...entonces se opto por desarmarlo para ver que le pasaba...se encontro desconectado un cable ..sencillamente mal armado en la fabrica...cuando se repuso la conexion el equipo funciono normalmente. Se le otorga un bueno al calefactor ..un pesimo al fabricante y un malo al vendedor,m
Calidad y precio óptimo Buena calidad y precio. Recibido en tiempo y forma. Lindo color.,b
Bueno Interesante la variedad de opciones. Acorde al precio. Buena presentación,b
Se está despegando Muy lindo pero la calidad no tan buena. Aún no lavé y ya se está despegando.,n
Bueno La pala de madera esta rajada en la manija,n
"Bueno Es muy linda. No me gusta mucho el hecho de que no siempre funciona cuando llora (no siempre cae agua a pesar de tener el depòsito lleno). Pero a la pequeña le gustó. El precio es excesivo para el producto, pero es lindo.",n
"Práctico La textura es liviana, suave. Prenda cómoda y práctico. Existe diferencia de color entre lo publicado y el real. Talle cómo esperaba.",n
"Bien Son tal cual se ven en las fotos y lo que ofrecen, por el precio están bien, pero no son de súper calidad. La parte de abajo es abierta.",n
Mejorable El producto es correcto. Buena calidad de materiales. Habría que agregarle una mopa de repuesto.,n
Bueno muy lindo el producto. llegó a tiempo. lastima que ya no funcionan las luces!!!,n
Lo recomiendo Excelente. De muy buena calidad,b
"Bueno Es buen producto aunque tiene demasiado contenido de agua en su formulación, lo que hace que su efecto sea corto, podría ser un poco mas consistente.",n
Es de modal muy finita con bolsillos chiquitos Es lindo le faltan terminaciones los bolsillos muy chicos y la franja está fruncida ya q es de modal muy finita pero está de acordé al precio,n
Regular Tardan mucho en despachar el producto,n
Aceptable Aceptable para el costo tiembla mucho y se cae el celular no lo mantiebe,n
"Bueno Por ahora joya, vamos a ver si duran",b
Bueno Corresponde a la descripción que da el vendedor. Es de una calidad media.,b
Todo exxelwnte. Muchas gracias! Excelente. Muy buen producto. Llego segun lo acordado,b
Bueno No es el mismo de la foto y no me avisaron.,n
"Bueno Producto bueno, aunque me dijeron que tiene anabolicos, igualmente a los gatos les gusta",n
No me gusto No es de buena calidad y la bandeja que junta el agua que escurre es terriblemente pedorra y se rompe de nada...x rata me pasa esto!!!,m
"bienn buenisimo el producto, lo que esperba",b
"Bueno funcionan bien, no son muy ruidosos",b
"Todo correcto. Perfecto todo.Bien el producto, bien la entrega y bien la atencion.",b
"Buen producto pero falta alcance. Es lindo estéticamente, funciona bien perooooo el alcance no es lo que esperaba. A 15 mts y solo con una puerta en medio ya pierde la se?al. El receptor tiene que estar bastante cerca del pulsador y en línea recta si es posible.",n
"Buen producto Buen producto, tiene alguna marca en el recubrimiento del estante que fueron pintadas de negro. Lo que me molesto es que al hacerles los agujeros en el estante, para las mensulas, lo hicieran a diferentes alturas (3 mm de diferencia) aprox. No entiendo porque lo hacen mal, es algo muy sencillo. Por esto le pongo solo 3 estrellas. Ahh, el vendedor no respondió mi queja. Saludos.",n
Bueno Buen producto y respuesta rapida,b
Esta bien solo que no era el color pedido Los guantes esta bien en lo unico que falloron fue en el color.. yo pedi unos azules y me mandaron uno verde fluor pero lo demas esta bien,n
"Bueno Aun no nacen, estoy esperando tener algun resultado",b
Regulares No son buenos. Se filtra el viento y no aislan nada del frio.,n
Normal No tiene muy rico sabor el de cookies,n
No anda el apagado automático. Regular Lo único malo del producto es que no tiene apagado automático según la temperatura o no funciona.,n
Bien pero son de cromado brillante Lindos y economicos pero hay otros con mejor presentación muy brillantes el cromado no es mate es cromado brillante lo que lo deja menor lindo que en la foto,n
Buen producto Bueno para lo utilizado y llegó rapido,b
"Bueno la colchoneta es muy finita, casi como estar en el piso, lo demás bien!!",n
"recomendable funciona pero tiende a saturar rapidadamente al usarlo para captar amplis, bien usado logra sonidos claros y con muchas frecuencias altas",n
Recomendable Super ptractico...!! El cortapapas,b
"Stereo gama media/baja. Funciona normal. Funciona ok. Stereo standard de gama media/baja. Está ok, pero si tendria que volver a comprar por unos pesos mas iria por otra marca mas conocida.",b
"Bueno y práctico Precio y calidad bueno, el mango es corto y se le suele salir la tapa de arriba. Pero era lo esperado",n
"No es muy preciso No es muy preciso . ,..............",n
Regular El producto bueno pero me vinieron todos abiertos del local del vendedor.,n
"Buenas Buenas, pero algunas no cierran bien.",n
"Buena relación costo-calidad Tiene 2GB de ram y 32GB de almacenamiento interno.  Funciona bien y tiene una velocidad aceptable.   Las cámaras tienen una resolución bastante baja, no se puede tomar fotos de calidad y ni hablar de las selfies.  Tiene Android 6 y no se lo puede actualizar.",n
"Bueno quizas en la foto se ve mal, pero muestra una parte de la espalda con corderito o algo parecido... cuando llego eso no lo tenia...si es error de foto pido disculpas..gracias.. por lo demas era lo esperado.",m
"Bien El producto es muy lindo, me entraron 7 cuchillos y cuchillas. Lástima que llego levemente abollado.",n
"Bueno La sección magnetizadora no es muy potente, pero imanta. La desmagnetizadora, no tiene la capacidad que debería tener.",m
Es un juguete Es un lindo juguete. A mi hijo de 6 años le gusto y lo entretuvo. Me habia imaginado que seria para nenes mas grandes.,b
Recomendable Todo ok... Un poco tarde el producto.... Pero esta bien,b
Exelente Muy buen producto muy recomendable,b
Calidad media Calidad media.. se sienten suaves pero en las brochas grandes ya se salen los pelos..,n
"Buen producto Buena relacion calidad-precio. Esperaba tela mas gruesa, pero si se plancha bien cumple su fucnion perfectamente.",n
Buena Le doy 3 x el momento . Parece buena pero quiero ver como va con el tiempo,n
no me gusta el tramite del cambio el pantalón esta bueno pero me quedo chico tendría q ser un talle mas pero el cambio es muy problemático tendría  q ser mas fácil y rápido ya q yo pague el envió  como yo pido uno mas grande lo traen y hay lo cambio pero eso de tener q embalarlo lleberlo al correo y esperar q me manden otro no me gusta creo q es mas fácil y rápido q te traigan el cambio y se llevan el talle o el producto q no va,n
"Bueno Muy conforme,pero se nota que su potencia es la justa.Para el uso en Casa no desilusiona.Lo único que hace fruncir el ceño es la paupérrima iluminación que ofrece,para un producto de esta marca.Tal vez a un Técnico le convenga reemplazarle el Led.",n
"Todavia no puedo ver los resultados, seguiré proba Todavía no puedo ver los resultados",n
Ideal para el colegio Buen producto precio calidad recomendable,b
Bueno Esta bueno pero x lo que lo pague tendría que haber tenido también luces,n
Bueno x el precio es lo que hay..producto precio ok,b
Muy buen producto Barbaro muy bueno mejor de lo que pensaba me encanto,b
Bueno Esta bien en relacion al precio. El tema del sonido y ls cuerdas no es muy bueno.,n
Bueno HOLA MUY BUENO EL PRODUCTOS ESTOY CONFORME CON EL EL PRODUCTOS RECIBIDO...,b
"Muy duras. La verdad verdad....no era lo que esperaba,no son comodisimas,son duras,nada que ver a la sensación que quería sentir,bueno por ahí la próxima.",m
"Lindo, práctico Es lindo, práctico lo único que tiene es muy frágil se dobla mucho y pareciera que se va a romper cada vez que lo abro,y mí bebe de 6 meses entra justo después todo bien",n
reseca subtono muy naranja reseca mucho la piel marca arrugas y poros. no volveria a comprarlo,m
Bueno Lindo. Sólo que cuando prendes la luz se nota un cable negro q pasa x dentro atravesando el cartel.,n
"Tela dura, pero algo débil las costuras. Tela dura, pero algo débil las costuras, esta acorde al precio, aunque el diseño carece de estética.",n
El bahiut lindo Tardaron en hacer envío ..no respetaron tiempo..e hicieron que me saliera más caro el transporte porque lo enviaron con otro nombre y no con el convenido...el bahiut .. está lindo,n
"Bueno es demasiado alta, para cabezas normales choca en la oreja, es un poco incomoda. La calidad es muy buena",n
"Buena relación calidad/precio. Esta bueno en general,  Punto negativo:  los clips que sujetan la pantalla deflectora, dan la sensación de romperse en cualquier momento, no hemos tenido problema alguno realmente, solo nos quedo esa sensación. El conector al trípode es un tanto aparatoso.    Punto positivo: muy practico, nos olvidamos de estar dependiendo quien sostenga el deflector.     w w w . m a p p l e s t u d i o . c o m",n
Conforme con el producto y el envio Bueno estoy conforme  Y llego segun lo previsto,b
"Bueno Tiene muy linda terminación, pero es algo débil. Chapa muy fina y la cerradura no es de buena calidad. Sin duda queda muy bien en la fachada pero no es para Argentina. Es fácil violentarlo.",n
"De 10 Buena y Lida muy confortable, calidad estupenda",b
"Es como para hacer trabajos muy livianos..hobista Parece buena relación precio producto... pero la primera vez que las use se rompió una de las piesas y el vendedor no respondió mi reclamo.. el resto parece que va a aguantar..   espero cuando las vuelva a necesitar no se rompa ninguna otra... el resto safa bastante.. encastre, caja, etc..",n
Incómodo Debajo en la pantorrilla está muy ajustado lo único,m
Bueno Muy buen producto practico para usar.,b
Bueno Producto util que siempre es preciso tener,b
"Bueno Pensé que eran de mejor calidad en potencia, pero igualmente son buenas",n
"Bueno Es de buena calidad. A mi no me sirvió por que me pareció ver en las fotos que los agarres (4) también eran extensibles, pero no, y lo compré para un dvd portátil.",n
"Bueno Muy buena calidad, es recomendable",b
Sirve Sirve pero hay que pasarlo varias veces y frotar con bastante fuerza,b
"Bueno Todo muy bien, salvó las pastillas eran de otro modelo pero lo solucione",b
Bueno Está buena pero por ahí la instalación del continuo debería traer un manual o tutorial. De todas formas funciona perfecto,b
"Regular Es lindo, no tanto como me pareció, pero bueno",n
Bueno Se ve muy buen producto.. el talle esta bien..lo que si hay que tener en cuenta que es corta la campera,n
Bueno Buena atención .rápida entrega,b
No es lo que parece Es de baja calidad y las patillas no son flexibles con apertura.,m
Bueno El talle es para 36 / 38 de pantalón más de eso no van   El algodón en relación con el precio esta bien.,n
Bueno Pasable es reversible pero son telas diferentes y no es muy abrigado  El envío y la atención del vendedor muy bien,n
Bueno Hola llego en buen estado .en tiempoy forma muy bueno el producto,b
Bueno Hermosas. Pero me las hacía un poquito más grande.pero llegaron muy bien. Digno de recomendar,b
Buenas pero de presilla muy largas La calidad es buena pero tiene las presillas demasiado largas y eso altera la medida que tiene...queda un pedazo de ventana sin cubrir... deberían hacerlas más cortas,n
"Muy entretenido Muy divertido, si bien lo compre para mi sobrino pero estuvimos jugando un poco juntos y es entretenido. De los que compre, a uno no le funcionó la luz, no es la misión principal pero es parte del atractivo y por lo que pague",n
"No me arrepiento! Es un producto muy bueno, llevo en tiempo y forma, el único garrón fue que llegó con una raya y es si hace que se vea algo borroso, más allá de eso, todo muy bien!!",n
Excelente Excelente producto. Suelo comprar,b
"Regular El forro de cuero está bueno, el mate de calabaza tambien esta bueno... pero la calidad de la yerbera, azucarera, termo y bolso son malas...",n
Ni muy muy ni tan tan. El tender es grande. No es endeble pero tampoco robusto o sea que es de  calidad media. Se nota que la pintura es de mala calidad vino saltada en varios lados y con una capa fina. De todas maneras lo estoy usando y cumple con su función. Cuando pueda lo pintaré con antioxido para extender su vida útil.,n
Es bueno...puede mejorar Producto de materiales mejorables de acuerdo al precio pagado!,n
Es mas dificil que lo que pense hacer las puntilla El producto es aceptable. Considero que es muy dificil ponerlo en practica. Hemos hecho uno ensayos pero lleva mucho tiempo.,n
"Bueno buen producto, hay que tomarse su tiempo para armarlo !!",b
"Bueno Bueno, mi hijo quedó conforme,no puedo decir más, yo no lo uso",b
Buena Neutrik (pero fabricada en China),b
"Bueno muy buena atención y todo correcto, aún no probé la pintura",b
"Funcionales,lindas y buena relación precio calidad Son muy lindas! El único detalle es que tienen algunas fallitas, tienen un par de pequeños desgarros en la tela. Son pequeños pero son fallitas que quizás ameritarian un cambio,pero como las necesito y no son tan visibles las voy a conservar. Aclaro que es difícil que el vendedor haya podido saber de la existencia de estas fallitas, ya que vienen empaquetadas y dobladas y entiendo que así las ha recibido de fábrica. Gracias.",n
Bueno Lo unico malo es que la junta y el orin que viene con el producto no corresponden con la pieza. Hay que hacerle una junta nueva,n
"bien todo bien, todo bien, todo bien, todo bien todo bien todo bien todo bien todo bien todo bien todo bien todo bien",b
"Es lo que se paga. La calza, medias y guantes bien. La remera es un pijama. Muy grande de mangas y de panza - cintura. La mascara no se cuando la usaré, pero esta aceptable. Esta muy bien para lo que sale.",n
Satisfactorio Si bien la uso poco hasta ahora sin problemas,b
"No me llego cuando tenia que llegar La pedí un miércoles, y el viernes tenia que llegar, pero acabo llegando el lunes, espere 3 días mas al pedo.",n
"Todo ok, excepto la medida La calidad y el estampado esta bien, me enviaron el color y el estampado como corresponde, pero las bolsas dicen 20x30 y son mas chicas (18,5x28). Por lo tanto no entra la mercadería que tenía prevista y básicamente no fue lo que pedí y pagué.",m
"voy a esperar llego a tiempo segun lo pactado, no puedo opinar hasta que en un tiempo compruebe si funciono o no",n
"Bueno tODO BIEN PERO ES UN POCO ENDEBLE, DEBERÍA SER MÁS MACIZO",n
Bueno Buen bien bueno      B  L,b
a solucionar buen producto. Mal las instrucciones de instalacion. El producto del manual no es el vencico,n
Caludad mala. Sin protecciones adecuadas Me parece de calidad baja. He comprado equipos fox de muchisima mejor calidad. No parece original.,m
"Bueno Buen producto, cumplio mis expectativas.",b
Muy Malo el envio full La lámpara muy buena... pero el envió que dicen que es full es una mentira.. me tendría que haber llegado entre el 01 y el 02/08. Y llegó el 08/08.. deberían mejorar en envio.,n
"Destapador de fundición de aluminio Los destapadores están bien, son de  fundición de aluminio.",b
"Bueno todo bien, acorde al precio , todo bueno",b
"Regular Es bien de viaje por su tamaño, pero no calienta lo suficiente que me hubiera gustado. Por todo lo demas, envio / retiro / contacto con el vendedor, etc todo mas que bien. Pero el producto en si no lo recomiendo",n
"Bueno Producto de buena calidad. No es exáctamente lo que esperaba, pero no tiene nada que ver con el vendedor, fui yo quien me hice demasiadas expectativas sobre  el producto. Seguramente, algún otro cliente encontró una mejor función de la que yo he encontrado.",b
muy caros los envios buen producto pero demora el envio,n
Bueno todo bien gracias no tengo mas que decir se puede cosinar jaja,b
"Producto bueno El producto es bueno, pensé que era más grueso para ser premiun...",b
Bueno El producto llegó bien como se acordo,b
Bueno Apenas llega a cubrir la cámara,b
"bueno No es el mejor papel del mundo y en gramajes altos deja bastante que desear, pero safa para trabajos simples, tiene buena calidad de impresion",n
Bueno Muy lindo en cuánto a diseño. Pero las lentejuelas que vienen en la pechera del vestido se salen todo el tiempo. Con el solo hecho de moverlo se salen.,n
Bueno Todo ok...aunque 1 de los ladrillos me llegó roto...sería mejor que ya vengan pegados...ya que no encastran del todo bien y alguno te queda un poco suelto...pero en gral. bien...,n
Muy bueno Muy buen producto. Me gustó mucho,b
Bueno El producto de buena calidad... la atención pésima,n
"bueno exelente producto, recibi lo pactado",b
Regular La mochila parece buen material pero pésima la bolsa de agua. Termine con todo mojado al primer uso porque gotea por la conexión con la manguera,m
Bueno lo coloque y anduvo perfecto. Era exactamente lo que necesitaba.,b
BUENO BUEN PRODUCTO FALTA UN POCO DE MAS COLOR EN LOS FONDOS,n
"Bueno Safa, no es nada del otro mundo, la cermica se mancha luego de un par de usos",n
Bueno Bueno en general...recomiendo..........,b
Bueno Buen producto acorde al precio!,b
