raw,rate
recomendable precio calidad inigualable,positive
"Malo Muy malo, no sirven.. No cumple con lq promete",negative
gracias muy lindooo Buenísimo todo. Es lo que esperamos gracias,positive
Muy buen precio y calidad Excelente calidad y precio. Muy conforme,positive
"no sirve como todo lo chino, un par de dias bien, hoy a hace varios dias, la bateria no retiene carga, por momentos responde a los mandos y por momentos parece desconfigurarse o fallar el soft, como que se cuelga....",negative
Todo bien. Todo muy bien. Buena calidad y precio.,positive
Malo Muy plastico comun pense haria diferencia pero no barato sale caro,negative
Excelente Excelente. Todo tal cual lo publicitado,positive
Malo No muy bueno el producto pensé que era un poco mejor,negative
No se Impecableeeeeeeeeeeeeeeeeeeeeeeeeee,positive
"Buena Para ser que es barata, demasiado la mascara",positive
regular el estereo no tiene AM! solo FM   mas o menos el estereo,negative
Excelente excelente producto.Lo volveria a comprar,positive
"Muy mal No son originales! Malisimo los comandos, los originales son categoria A. NO B",negative
Excelente Tamaño y material ideal para manipulación de niño de 3 años.,positive
Tramposos Nunca recibí la bolsa de hipoalergénico de 10 kilos. Dijeron que no tenían.. y que pagara una diferencia para comprar el de 15 kg. Es muy tramposa la publicación. Y quiero lo que pagué,negative
Espectacular Todo de 10 estan re buenas . La atencion re buena muy recomendable,positive
Excelente Exelente. Llego en tiempo y forma,positive
Excelente Excelente .muy confiable Cubrio mis espectativa,positive
Chicas .... Son dos talles mas chicas de lo que indican.,negative
Excelente El producto es muy bueno!Y llego en perfectas condiones,positive
Malo Las coneciones de las fichas son las cortas,negative
Engaño. No es original y el rendimiento es pobre. No lo recomiendo.,negative
"Excelente Muj bueno, es lo que esperaba, recomendable",positive
"Genial Muy buen producto, cumplió con lo prometido",positive
Muy bueno un poco mas liquida que de costumbre,positive
"La atención y el envio excelente, Lamentablemente el pretal ya se le rompió el cierre,no me duro una semana.",negative
Excelente Muy responsables en ma entrega. Gracias!!! Excelente el producto.,positive
"Mal Jamás me enviaron la factura, me cansé de enviar mensajes al vendedor y no responden. Tampoco envían la tarjeta de la misma",negative
"Muy malo MALÍSIMO VENDEDOR!!!  NUNCA ME ENTREGÓ LA FACTURA, SE LAS PEDÍ POR TELEFONO Y POR MAIL INFINIDAD DE VECES.  NO RESPONDEN!!!!  NO LE COMPREN...",negative
"Lindo El producto en si está bien, pero te lo envían en una bolsa de almacén común, sin ningún tipo de bolsita de presentación o packagin correspondiente, pésimo.",negative
Mala Muy mala calidad de impresión,negative
Muy malo No me gustó la calidad de la ropa con el material que lo hacen así que lo devolvi todabia estoy esperando el re ingreso de lo que pague,negative
"Muy bueno Cumplió mis expectativas, el agua permanece caliente muchas horas.",positive
Muy bueno Es muy bueno el producto.. me ancanto pero se demora mucho para que me lo mande pero muy bueno,positive
Excelente Excelente! Muy buena definición,positive
"Recomendable. Lo poco que lo usé hasta ahora, funcionó muy bien. Muy buena respuesta. Toma muy bien los graves. Lo usé con un pandeiro. Va muy bien por el precio del producto.",positive
Chico el talle L Talle L muy chico chico chico chico chico chico,negative
Excelente todo perfecto. recibido a tiempo. producto esperado,positive
"Una desilusion Muy caro para lo que realiza , pense que era el remplazo del hilo dental pero lo tengo q seguir usando !",negative
"Muy malo Buenisimo, hasta que le puse 160 kilos a la compuerta, y no se la aguanto. Una lastima! hice el reclamo y no me solucionaron el problema",negative
Excelente Muy lindo producto. Mi nene... feliz. Llegó muy rápido,positive
Muy bueno Excelente producto. En Calidad y presentación,positive
El el producto cumple con las expectativas que ten La verdad que estoy muy contento con el producto es de excelente calidad,positive
Recomendavle Te deja el pelo hermoso y brillante,positive
"Una Maquina Ideal y de bajo precio Muy Buena Maquina, robusta bien presentada, ideal para afeitar la barba, patillas etc.  Cuenta con un sistema vibratorio simple pero efectivo.  Recomiendo este producto.",positive
Muy bueno Muy buen producto cumple su función perfectamente.. recomendable,positive
Muy malo No funciona con los drivers 3200,negative
"Impecable! Impecable. Hace mil años que no hallaba este modelo, que fue el que me acompañó toda mi adolescencia. Va con todo! Un 10",positive
Decepcion Medio pelo..no fue lo q esperaba,negative
Muy bueno Excelente soldador. Caliente en 3 minutos y esta listo para comenzar a soldar.,positive
Un lujo! Excelente producto y relación calidad-precio,positive
Excelente Buen producto. Era lo que esperaba.,positive
"era lo que esperaba el producto está bueno, era lo que esperaba, saludos",positive
No la volveria a comprar Malisima.no aclara que es de neoprene solo el triangulo que tapa nariz y boca.lo demas de una tela cualquiera..por el precio debiera ser mínimamente del material q menciona o aclarar el detalle,negative
"No es original La batería que me envio no es lo que compré, yo le compré a este vendedor porque la foto de la batería era igual a la que tenía mi celu, y cuando llegó, lo que me envió es igual a la que ofrecen otros a mucho menor precio, sumado a que NO ES ORIGINAL dado que una vez cargada, dura lo mismo que la batería gastada que tengo en el celular por lo cual, le pedí que me la cambie por una original de verdad o me devuelva el dinero y nunca contesto.",negative
"Malo El producto es muy bueno, cumplió con mis espectativas, pero nunca me llegó la funda de regalo que venía incluida con la compra",negative
muy bueno El color y tamaño están muy bien,positive
Regular Es muy fino el vidrio se partió al colocarlo y donde tiene los tornillos es de plastico.  No de acero como indica la descripción....,negative
Malo Fallo después  de unos días la pantalla  se apago.,negative
Lindas !!! Lindas !! Van bien ... Hay q salir a caminar ahora,positive
"Excelente Trabajo Muy efectivo, funcionó perfecto.",positive
Decepcionante Pésima experiencia... te mienten con la ubicación donde se encuentra el producto... Algunas teclas están defectuosas y la batería es de corta duración ! NO lo recomiendo para nada en lo absoluto!! Muy decepcionado...,negative
"Excelente Perfecto, ya está instalado y funcionando",positive
"Decepcionante Mala calidad, no va acorde al valor Es modal , las terminaciones sin dobladillo. Un terrible chasco,no lo recomiendo.",negative
Deformes Nonson lo que esperaba..... Muy mala calidad,negative
Muy buena calidad y gran producto Exelente producto y muy buen trato del vendedor,positive
espectacular compra excelente producto. totalmente recomendable,positive
"Muy malo Sonido muy malo, es precio es accesible, pero no vale la pena, pésima compra.",negative
"falta talles disponibles Eran botines  color amarillos  que resultaron ser un talle mas de lo esperado y cuando quisimos cambiar no había talles disponibles  y ademas nos cobraban el envió de cambio, así que optamos por la devolución de la mercadería la cual no tenes todavía novedades del reintegro del dinero.  esperamos una respuesta del reintegro del dinero muchas gracias",negative
"Buen producto Muy bueno, un libro muy entretenido y con datos para los que nos gusta navegar",positive
Malo Promocionada para guardar euros pero en realidad es bastante pequeña para guardar euros. Lamento mi decisión de compra.,negative
"Pesima terminacion Tiene la superficie arrugada por el pegamento, y esta despegado en varios puntos del Ecuador",negative
de muy mala calidad de muy mala calidad pierde por todas partes y no lo pude utilizar,negative
Mal... No sé escuchaba El muñeco está muy bueno... Pero el audio no se escuchaba mucho y no pasó una hora y ya no se escuchaba la canción.,negative
"Fácil de disimular Justo lo que necesitaba, ideal para espacios chicos",positive
