raw,rate
"Malo Faltó de potencia la verdad no la recomiendo, la dejé cargando y la verdad nada 0 potencia para atornillar, el producto fue despachado como corresponde en tiempo y forma ahí no hay quejas!!!",negative
Un fiasco Es malo. A los pocos días dejó de funcionar.,negative
Malo No sirven para hierro se barren todas,negative
"Malo Muy endeble, los pernos de las ruedas que son de plastico se doblaron enseguida",negative
"No la recomiendo Maso no mas esperaba, no cumplió mis espectativas.",negative
excelente gracias Excelente la tela. superó mis expectativas. Muy recomendables.,positive
"MALO Hola compré hace 3 meses el aparato de radiofrecuencia,primero dejó de funcionar un manipulo ,luego el otro,lo usé con los cuidados y tal cual dice el vídeo explicativo. Si bien el aparato parece que da resultados,estoy enojada con el vendedor,ya que te dan un número para que reclames por cualquier inconveniente,y jamas responden.",negative
"malo, y el vendedor poco responsable son truchos, explotaron ni bien los instale, compre en otro lugar y anduvieron perfecto, hice el comentario al vendedor y ni siquiera me respondio",negative
"Muy malo Nunca llego el producto, el vendedor trata mal al cliente, me gustaria que el trato sea distinto ya que todos tratamos de que mercadolibre sea algo confiable, lo es totalmente, pero cuando los vendedores se desligan de los problemas, habla de la calidad de vendedor que es.   Gracias, saludos.",negative
"DesepciOnadO La verdad Que me decepsiOnO, pense Que al tener 20000 mlh cargaria varias veces me celu, cOmO muchO una carga y media aguantO y nO me sirve asi, le emvie mensage al cOmpradOr aXel y hasta ahOra nO me cOntesta",negative
Muy bueno A mis gatos les gustó mucho. Veremos qué efecto tiene sobre su pelaje.,positive
Excelente producto Muy buen producto recién hace unos días lo instalé pero funciona de 10,positive
"La dejo porque ya la vio mi nena y no da devolver Estéticamente es linda. Pero funciónalmente no.  La horquilla no tiene rulemanes y trae ( en mi caso solo uno) unos tapónes huecos donde pasa el caño de la rueda delantera y eso mantiene que no tenga juego. Aparte de que el manubrio, no tiene tirafondo sino un tornillo transversal a la horquilla. Lo demas bastante bien. Menos mal mo trae pedales y cadena!!",negative
Perfecto Perfecto todo bien llego bien el producto perfecto,positive
"no es lo que se ofrece no es Blackout, es una tela comun, no cumple su objetivo de proteccion contra el sol...",negative
Muy bueno. Calidad extra. Vuelvo a comprar. Excelente producto. Muy buena cantidad. Todo de diez.,positive
"Excelente Es excelente, me enamore a penas lo vi! 10 puntos",positive
"MUY COMODO GRAN ESPACIO, SEGURO, CUMPLE CON MIS ESPECTATIVAS, RECOMENDABLE 100%",positive
Malo No me parecio tan bueno. Con un buen filtro se nota la diferencia en el gusto del agua y con este no.,negative
Producto recomendable Muy bueno y satisfecho por su calidad,positive
Malo Bastante malo se rompio el plastico donde entra la boquilla y no aspira mucho pero x el precio no esperaba mucho mas,negative
Ni Todavía no lo recibí y hace más de 15 días!!!  Apqlp!!!,negative
Malo Vino fallado recin lo fui a poner y tiene un punto blanco en el medio que no deja pegarlo en esa parte,negative
Horrible Horrible le faltaron 5 accesorios lo tendrían que revisar antes de entregar no lo recomiendo ni un poco No lo devolví para no arruinarle el día del niño a mi hijo,negative
"espectacular el pantalon ! hola! si disculpa se me paso el tiempo. compre un pantalon exelente , muy muy lindo y acorde a como lo habia pedido, la atencion muy buena del vendedor y rapidicimo llego . todo de primera . recomendable!",positive
"Muy malo Muy malo. La barra central NO ES DE METAL, es un plastico revestido de plateado. Y hace juego con las dos otras piezas al hacer las dominadas (peso 52kg)    El vendedor anunció que llegaba a los 100 cm pero no es así, llega hasta 95cm, con lo cual no me sirvió para ponerlo donde quería.",negative
Muy Malo Mala imagen. Anduvo solo un día y luego se llenó de rayas la pantalla,negative
Cuando completen opino. Dice + Liga o LED y solo vino la bici.,negative
"Muy bueno Ha llegado en perfectas condiciones, y en el tiempo establecido",positive
Ccompre dos veces muy mala las 2p No es el publicado en la foto aparece liso y viene con una linea en el medio,negative
Buena Muy economica le flalto el fondo y lo divisorios de la bajo mesada,negative
Destiñen! Malo! destiñen...y las fundas son chicas! Las bordo y las celestes!,negative
Excelente Espectacular. 100% recomendable,positive
Muy malo No lo pude abrir xq se me rompió la compu y hoy q quise abrirlo no lo pude hacer,negative
"Impecable, llegó antes de lo estipulado Divino !! Muy buena calidad, super abrigadito",positive
Excelente!! Muy bueno Exelente producto. Estoy muy conforme,negative
"Estafadores Muy malo el producto, son cargadores de celular con el pin modificado, no se recomiendan para nada",negative
"mala La calcomanía solo se pega del lado de afuera, debiera ser con pegamento frontal para adherirla a la vidriera de mi comercio del lado de adentro y evitar que por vandalismo me la arranque cualquier peaton.",negative
Excelente Muy buenas ......!!!!!!!!!!!!!!!!,positive
"Malo Para ser un L es chico , no me lo quisieron cambiar",negative
Genial Muy buen celular... es lo que esperaba,positive
Regular No es el mismo que el de la imagen .,negative
"zapatos de fabrica. cocidos"" pegado excelente!!! compre dos pares hace 20 dias y ya se me despejaron. los uso solo para ir a la ofi",negative
Lindo! Muy buen producto! Me encantó....,negative
nada excelente producto lo recibí dentro de lo esperado,positive
Excelente Excelente producto y servicio. Muy buena calidad de producto y rápida respuesta. 100% recomendables,positive
"Inconvenientes con el producto: funcional y físico El producto es tal cual la foto, literal, pero lo que no se nota y nos dimos cuenta al recibirlo es que al tacto todos los cantos son filosos (me refiero al borde soporte/trípode y a los bordes de la tapa apoya pinches, después el plato de base y la olla están bien) es como que el metal fue calado y no se limaron los bordes.   El quemador gotea/se filtra por los costados, por lo que el fuego salia por los bordes del metal ademas de salir por el agujero central y/o los agujeritos secundarios, por lo que:   1) había mucho más fuego del necesario   2) es un peligro, porque nos goteaba y de a momentos se encendían fuego las gotas que se derramaban en el plato de apoyar de abajo, dura segundos, pero podría ser potencialmente peligroso de caer en un mantel o algo que se pueda encender   3) hay muy poca distancia entre el fuego del quemador y la base de la ollita, por lo que el fuego era muy intenso en el centro y provocaba que hierva el queso, entre eso y que goteaba terminamos por sacar el quemador y poner unas velitas (porque lo que buscabamos era mantener el queso caliente, no que hierva).  Si uno lo usa con velitas, evita tocar los bordes del trípode y no usa la tapa apoya pinches (por los bordes filosos) está todo bien, sobre todo porque no es algo que se use todos los días.  Quería comentar estos detalles porque yo lo compré justamente porque los comentarios y calificaciones del producto eran todas muy buenas y confié en eso.",negative
Excelente Muy buen producto .. se entregó antes d lo pactado ..,positive
Excelente Excelente atención. Excelente el producto. Sin demoras. Gracias,negative
