raw,rate
Muy buenas zapas! Las zapas ya las tenía antes y son muy buenas.,positive
Magnifico Lo mejor q podria hacer es volver a comprarme otro 100% recomendable saca el polvo de la yerba muy bien,positive
"Producto fino. Producto de excelente calidad y terminación, lo mismo que la atención, muchas gracias.",positive
Excelente Lo usé para conectar un decodificador Movistar a un monitor y funciona sin problemas,positive
Super recomendables ?? Excelente. Excelente atención,positive
Excelente me cambiaron el termostato de mi heladera en el día muy amable y rápido. muchas gracias,positive
"UN DESASTRE !!!!!!!!! Es un producto que al no tener indicaciones precisas de su uso se hace nulo de usar ya que al pasarlo por la pared luego de calibrar al Walabot, marca existencia de caños en lugares que ni un clavo pasa.  Me cansé de llamar a quien me vendiera el producto (vendedor) y nunca supieron responder.  Por todo lo expuesto digo que tanto el producto como el vendedor son un desastre.",negative
Resultó muy chico talle L para talle 38. Poco push Resultó muy chico talle L para talle 38. Poco push up. Tiene costuras. La tela parece linda lycra. No era lo que esperaba.,negative
La comprè para hacer un regalo. No era para mi. No tengo idea de las  características ni del material ni de su utilidad.,negative
CALIDAD Y DURABILIDAD POR HORAS!!!! EXCELENTE CALIDAD AL SER COPIA AAA MUY BUENA PIGMENTACION QUEDA PUESTA Y DURA VARIAS HORAS,positive
"Las abone como orinales y no eran de imitación bra Las abone como orinales y no eran originales, eran de imitación Brasilera.",negative
"La forma en la que lo recibí no fue la adecuada Insatisfecho, llegó con caja abierta, y parece usado... Malisimo...",negative
Maso No es lo que esperaba pensé que me iba a quedar un poco más ajustado compré mi talle y aún así me queda grande es decir suelto no lo compre más chico por miedo a que no me entrara pero al parecer los talle que están marcados no son reales igual el producto en sí es bueno yo les recomiendo que se fijen en los talles yo pregunté por un talle 40 pero nadie me avisó que eran elastizados tengan cuidado con eso pero en sí es bastante bueno,negative
Excelente Excelente!!!! Riquísimo! Buena calidad,positive
"excelente muy buen producto, excelente calidad, relación precio producto muy buena, es todo lo que se espera de un producto de esta naturaleza. recomendable totalmente",positive
"Perfecto, justo lo que necesitaba. Producto igual al de la publicación.",positive
Súper recomendable muy linda calidad Excelente producto  muy conforme con toda mi compra y súper rápido la entrega,positive
Aceptablemente Bueno. La funda está bien de calidad. Y resalta (en mi caso azul) la estética del teléfono. Los bordes cubren bien la cámara trasera de manera indirecta (por el borde). El templado es genérico y medio pobre. Conforme con los productos. Tengo casi 2 meses de uso.,positive
Excelente Excelente producto! Recomendable!,positive
Malo Malísimo las placas no cierran del todo y te arranca los pelos,negative
Excelente Muy buen producto!! Cómodo de llevar y simple de usar. Muy recomendable!,positive
"Excelente fabuloso, desde la primer aplicacion se nota la diferencia",positive
Muy malo No me funciono..  Lo instale pero nunca se pudo conectar al vehículo..,negative
Optimo Muy buena calidad  y precio razonable!! Entrega en tiempo y firma pactada! M gracias,positive
Muy malo Llego a termino pero no me mandaron las poleas que quería . y no hubo coordinación ni comunicación necesaria para acordar el cambio,negative
"Excelente Muy bueno, llegaron a tiempo, los neumáticos de muy buena calidad",positive
"Excelente Muy buenas exelente diseño y fachada, lo unico un poco debiles ya que se suelen  habrir en el borde del fondo",positive
Muy bueno. Muy bueno. De acuerdo a lo esperado.,positive
Muy malo Se quemaron la mayoría en menos de 3 meses,negative
"Buen calzado Buena zapatilla, algo incomodas a la hora de calzarse; son estrechas en la parte del empeine por lo demas todo bien",negative
"Producto malísimo No lo compren,estos auriculares no sirven, no dura nada la batería",negative
"Excelente Buena atención y entrega. Muy responsables, contestan rápidamente",positive
Horrible Horrible uno me vino roto el otro muy grande y el otro muy chico,negative
"no fue lo que esperaba es chiquito. pero lindo, lo que no me gusto fue el cargador y el adaptador del drone para cargar, demasiado fragil.",negative
hermosas Están perfectas y a muy buen precio,positive
Perfecto Excelencia... calidad y terminación,positive
"no es lo que esperaba el censor de movimiento no anda, no es lo que se muestra ya que se visualizan 2 luces y lleva a confusión, realmente no es lo que esperaba, igual muchas gracias, recomiendo... ser mas especifico al momento de postear un articulo. (es critica constructiva), la luz funcionaba pero el censor no.",negative
"Excelente Muy recomendable, excelente producto",positive
"Muy malo La devolví porque no cumplía los requisitos que yo necesitaba. Es muy chiquita, el cable es muy corto y el enchufe no es el que usamos en Argentina.",negative
"Excelente todo ok, gracias!.....................................",positive
Muy malo No llego el producto q yo elegi llego un modelo distinto,negative
Excelente Genial muy bueno. Me encanto!,positive
"Malo Producto malo, deficiente en cuánto sistema para desmoldar, NO lo recomiendo, y no es que yo no tenga experiencia, anteriormente compré otro con sistema de núcleo diferente y me anduvo muy bien; pero éste otro molde con diferente sistema de núcleo es malo, repito NO lo recomiendo. Hice una mala inversión.",negative
"Muy malo No lo recomiendo, a los 2 meses dejaron de funcionar dos de las estufas.",negative
"Excelente Muy buen producto, todo bien, tal cual la publicación",positive
"Muy buena. Muy buena la verdad, era lo que esperaba.",positive
"mmm Detalle año del vehiculo y todo, pero no correspondia a un compass 2013",negative
Mala exp no lo recomiendo compren en otro lugar Viene con fallas cuidado!!!!! porque  despues no te hacen la devolucion  cuidado y mercadolibre no se hace responsable,negative
"Buen producto, pésimo sistema de entrega La tele está perfecta, precio calidad muy acorde (pocos días de uso por ahora). Muy buena imagen, el SO un poco lento pero yo no lo use mucho.  La atención y el sistema de envío del vendedor muy malo, dicen que se puede coordinar la entrega pero despues de comprar te dicen que no que es fijo, incluso acomodandome yo a esa respuesta llego fuera de lo acordado y los números de contacto que paso el vendedor (única asistencia que recibí) no funcionan... Básicamente depsues de comprar quedas a la deriva que el producto llegue justo cuando hay alguien para recibir",negative
Malo No me gusto no me parecio bueno,negative
"Muy bueno Tiene poca potencia, mad de un min para calentar una tqza de agua para té",positive
Excelente Funcionan perfecto. La batería dura un montón,positive
Medida y talle incorrectas. Especifique las medidas y el talle antes de la compra y me enviaron una remera de medidas y el talle incorrectos. Hubiese sido mas fácil preguntar antes de enviar.,negative
Buena calidad Buena calidad. Conforme con el producto,positive
excelente muy buena calidad. el sistema de cierre es fabuloso.  llego muy rapido.,positive
Muy bien Muy buen producto! Súper cómodo.,positive
Muy recomendable Muy buen producto y muy rapido La atención,positive
Muy bueno Excelente los aros de muy buena calidad,positive
"No me gusto La devolví y no me acreditaron la plata, tengo impreso hasta la devolución por mercado libre y la constancia de devolución del correo argentino",negative
Muy malo Muy bueno excelete calidad lo probe bastante y anda muy bien,negative
"Desepcionante Compre 6.... de las 6, 5 duraron 5 meses. No las recomiendo en lo más mínimo.",negative
"Una porquería la batería, no carga. Me cagaron Muy mala calidad. A la vista parece original. Pero no sirve, no carga, lo deja cargando toda la noche y llega al 40% o menos. La batería vieja que tenis., Funciona mejor que está.",negative
Excelente Hermosos corpiños excelente calidad...es el talle justo,positive
"Poca calidad La calidad del producto es bastante baja, por la relación precio calidad está bien, pero no me gustó",negative
