,content,sentiment,raw,rate
14,NUMER BOT EXCELENT QUED AJUST VEZ DESPEG DIO,[0 1],Mi número es 37 y las botas me calzaron como 36 Excelente a la vista. Me calce y quedaron ajustadas use una vez y se despegaron. Me dio mucha bronca,negative
15,MAND MAND ERA TIEMP DEVOLU,[0 1],"No me gusto,pague por lo que vi y mandaron uno más No fue el que yo compré,me mandaron uno parecido , pero era para el día del niño no tuve tiempo de devolución",negative
16,,[1 0],"de 10 excelente calidad, todo perfecto",positive
17,MAL CALEFON MAL DISEÑ DUCHADOR FOND QUED CM RESISTENT QUED HAC PUDR RESISTENT LLEG DUR AÑO CORRO PUDR HAC PEQUEÑ ORIFICI,[0 1],"Mal producto El sistema de este calefon esta mal diseñado ya que desde el duchador al fondo quedan unos 5 cm.aprox donde esta la resistencia que queda bajo el agua eternamente sin desagotarse lo que hace que se pudra la resistencia y no llegue a durar un año sin que se corroa y se pudra luego a la basura.ya me paso por eso lo expongo, la única solución es hacer un pequeño orificio en la base para que drene el agua estancada, no obstante no es acero inoxidable",negative
18,RECOMEND EXCELENT RELACION PRECI CALID,[1 0],Recomendable Excelente relación precio calidad,positive
19,ENCANT BUEN CALID,[1 0],"Fantásticos!! Me encantaron , son supercoloridos , muy buena la calidad.-",positive
20,EXCELENT CALID BUEN LLEG TIEMP FORM,[1 0],"Excelente calidad!!! Muy bueno el producto!!! 100% Recomendable , llegó en tiempo y forma",positive
21,EXCELENT BUEN ATENCION LLEG PREVIST EXPECT,[1 0],"Excelente excelente todo, muy buena atención y el producto. el tiempo de entrega, perfecto, llego antes de lo previsto.  el producto cumple con las expectativas",positive
22,ESPER MAL PRINCIPI PENS ERA DUR,[0 1],No es lo que esperaba Malo.. al principio le duraba poco la batería. Pensé que era el Bluetooth. Paso un mes y la batería vino fallada.. dura un día sin usarlo prácticamente,negative
23,EXCELENT EXCELENT CUMPL EXPECT,[1 0],Excelente Excelente!!!  Cumplen con mis expectativas!!!,positive
24,MAP INFORM,[0 1],Malo Solo es un mapa. Casi no tiene información. No es una guía,negative
25,MAL FUNCION VENDEDOR OFREC CAMBI DEVOLU MAL EXPERIENT,[0 1],Muy malo nunca funciono y el vendedor no ofreció cambio ni devolución. Mala experiencia.,negative
26,UTIL COMPR CUAND PREND ENCIEND GRADUACION DIGITAL,[0 1],Poco útil Lo compre hace menos de un mes y ya cuando lo prendo no encienden la graduación digital,negative
27,ESPER NEJOR BIEN CALID,[0 1],"Esperaba un nejor producto Bien, no es la calidad que esperaba",negative
28,,[0 1],muy berreta hola muy berreta saludos zzzzzzzzz,negative
29,ESTAF HORRIBL MAND ANILL IGUAL VERGÜENZ MAND,[0 1],Nunca más le compro! Me estafaron Horrible ! Me mandaron todos los anillos iguales! Es una vergüenza! Te presentan una cosa y te mandan otra ??????,negative
30,EXCELENT EXCELENT RELACION CALID PRECI RECOMEND ESTAN INICI ENTINT,[1 0],Excelente Excelente relacion calidad y precio. Muy recomendable para aquellos que se estan iniciando en el entintado.,positive
31,EXCELENT VEZ PID GUST VEZ ENCANT SIG RECOMEND EXCELENT CALID PRECI,[1 0],"Excelente Tercera vez que pido sus gustos y cada vez mas encantado con ellos, los sigo recomendado, excelente calidad precio",positive
32,CHIC CAB PIROTIN HORN SAL DEFORM,[0 1],"Muy chicos Son muy pequeños,no caben bien los pirotines así que al hornear se salen deformados",negative
33,MAL MAL ROMPI DECISION PENC ERA BUEN RECOM,[0 1],Mala Mala totalmente mala la use una sola vez y se rompio una decisión porque pence que era buena al ser bahco no la recomiendo.,negative
34,EXCELENT EXCELENT RELACION PRECIO/CAL,[1 0],Excelente!! Excelente relacion precio/calidad!!,positive
35,INCOMPLET MASC MAND MASC HAC CARG RECOM,[0 1],Incompleto sin máscara. Mandan el traje sin la máscara. No se hacen cargo. No lo recomiendo.,negative
36,GUST LLEG FALL,[0 1],No me gustó Me llego fallido y lo  devolvi,negative
37,BUEN PRECI CALID BUEN FUNCION TIEN AGU RESPECT FUNCION SER TEMPERATUR EXACT DIC SIEMPR BUEN CANTID,[1 0],Buen producto entre precio y calidad Muy buen producto funciona bien cuando tiene bastante agua con respecto al sensor de temperatura la alerta Sonora a la semana ya no funciona más eso sería como malo después lo demás corta en la temperatura exacta que uno le dice siempre con buena cantidad de agua,positive
38,HUMEDEC MOLEST COLOR BRILLANT PELOTIT LAV BUEN DISEÑ,[0 1],No sirven para deporte La tela parece de Nylon y se humedece con la respiración algo ciertamente molesto. Los colores son más brillantes que los de la foto.  El punto a favor es que no se le forman pelotitas al lavarlo. Buenos diseños.,negative
39,,[0 1],malo malooooooooooooooooooooooooooooo,negative
40,GUITARR BARAT BIEN ACORD PRECI PUED EXIG CAMBI CUERD TRA FLOJ CALID,[0 1],guitarra barata la entrega todo bien. la guitarra es acorde al precio.no se puede exigir. lo que si sugiero cambiar las cuerdas porque las que traen son de muy floja calidad,negative
41,BUEN BUEN BUEN MATERIAL,[1 0],Muy bueno A simlple vista y tacto buen producto. Buen material.,positive
42,EXCELENT,[1 0],"Excelente 10 puntos, el producto 100% recomendable",positive
43,FUNCION,[0 1],Malo No me convencio 100% pero esta bueno! Funciona muy bien!,negative
44,BUEN IMPEC PERFECT RECOMEND,[1 0],"Super responsables. Muy buenos vebdedores. Impecable, perfecto. Muy recomendable",positive
45,EXCELENT MEJOR AÑO RECOM,[1 0],Excelente La mejor co.pra del año! Se las recomiendo,positive
46,BUEN PERFECT CAFETER CONFIABL MUCH,[1 0],"Muy bueno perfecto una cafetera recomendable y muy confiable muchas gracias Atte diego,.",positive
47,FOT BORR,[0 1],Malaaa Mala muy mala las fotos me las borra.,negative
48,PERFECT BUEN SALI TOD BUEN GRACI,[1 0],Perfecto Muy bueno salio todo bien buen producto gracias,positive
49,ROMPI REFIER MODEL LIND DETALL,[0 1],50 La evbilla del zapato se rompio  en lo.we se refiere al modelo.es muy lindo solo ese detalle,negative
50,BUEN FUNCION BIEN BUEN PRECI,[1 0],De diez!! Muy buen producto!! Funciona muy bien y a buen precio,positive
51,BUEN CALID DIVIN BUEN,[1 0],Muy buena calidad Divina ....el talle perfecto y la calidad muy buena,positive
52,EXCELENT SUP PRACTIC RAP FACIL,[1 0],"Excelente Super práctico, rápido y fácil de usar, super recomendable",positive
53,PORQU DIAS ROMP NINGUN MOTIV VENDEDOR MERC LIBR,[0 1],Una porquería es una estafa Una porquería a los 18 días se rompió solo sin ningún motivo hace una semana hice el reclamo y el vendedor no me contesta y mercado libre tampoco,negative
54,BIEN ENTIEND CINT DEPOSIT PER CARTON CANCEL COMPR DEVOLV DINER,[0 1],"Muy malo Las cintas muy bien. Pero no entiendo como llevaron las cintas al deposito pero no el cartón, me cancelaron la compra y no me devolvieron el dinero del envío.",negative
55,PUNT PERFECT BUEN ENTREG TIEMP FORM,[1 0],10 puntos Perfecto es un buen producto. Entregado en tiempo y forma,positive
56,EXCELENT BUEN RECOMEND RAP PUBLIC,[1 0],"Excelente Muy bueno, recomendable, rapido y es lo que publica.",positive
57,MAL VERD CUMPL ESPER,[0 1],Muy malo La verdad no cumplió mis espectativa  no es lo que yo esperaba,negative
58,RESULT SAC NADAESTOY COMPR,[0 1],"No es resultado No sirve,no saca nada,estoy arrentida de comprarlo.",negative
59,MEDIAN SATISFACCION QUED FRUNC COSTUR CAEN,[0 1],Mediana satisfacción Quedan fruncidos por la costura del costado y no caen bien,negative
60,MAL,[0 1],Mala Vino fallado....................,negative
61,EXCELENT MOCHIL HERMOS EXCELENT CONFECCION MATERIAL PRIMER CALID COMOD RECOM,[1 0],"excelente Es una mochila hermosa, excelente confección y los materiales de primera calidad, y además es super cómoda. La recomiendo al 100%",positive
62,CONFORM EXCELENT CALID ENCANT RECOMEND,[1 0],Muy conforme Excelente calidad me encantó es muy recomendable,positive
63,EXCELENT BUEN MATERIAL DISEÑ IMPEC,[1 0],"Excelente Muy buen material, diseño impecable",positive
64,MAL ROMP HECH ROMPI PRIM DIA BAS,[0 1],"Muy malo se rompe facilmente, de hecho se me rompio el primer dia la base que sostiene la bolita",negative
65,BUEN BUEN COMOD BUEN CALID SON,[1 0],MUY BUENO MUY BUEN PRODUCTO COMODO Y BUENA CALIDAD DE SONIDO,positive
66,EXCELENT LIND CALID,[1 0],Excelente Muy linda la calidad del algodón.,positive
67,RESULT ENCIEND 10 QUED BAT,[0 1],"Malo A mi particularmente no me resulto, se enciende 10 o 12 veces y se queda sin batería.",negative
68,EXELENT BUEN HIJ FASIN,[1 0],Exelente Esta muy bueno mi hijo quedo fasinado,positive
69,BUEN CALID,[1 0],"Eexcelente Excelente producto ,muy buena calidad del mismo recomendable 100x100",positive
70,BUEN BUEN ABRIG AMOLD,[1 0],Muy buen producto Muy buen producto..bien abrigado el cuero se amolda muy bie,positive
71,,[0 1],Malo la verdad es de muy mala calidad y malas terminaciones,negative
72,EXCELENT EXCELENT BUEN DISEÑ CALID INMEJOR COLCHON RESISTENT HERMOS SUPON TIEMP LAV HECH TENG DOBL FUND COMOD COMPR PERR AMAN,[1 0],"Excelente producto. Excelente producto, con muy buen diseño. La calidad es inmejorable, el colchón es resistente y la tela super fuerte. El color es hermoso y por el tipo de tela suponemos que va a perdurar mucho tiempo. Es sencillo de lavar y el hecho de que tenga doble funda lo hace muy cómodo. Compramos dos de distintas medidas y los perros los aman !",positive
73,EXCELENT GENIAL,[1 0],Excelente SON GENIALES A MI HIJO LE ENCANTAN!!!,positive
74,BUEN DESCRIPCION,[1 0],Buena Es lo q estaba en la descripción,positive
75,ESPER UTIL COS,[0 1],.....!!! No es lo que esperaba pero es útil para cosas hovistas!...,negative
76,GENIAL EXELENT CUMPL PROMET,[1 0],genial exelente.cumple con lo prometido,positive
77,BUEN EXCELENT MAQUIN BUEN CALID,[1 0],Muy buena! Excelente maquina muy buena calidad y versatilidad!,positive
78,BUEN COMUN PART LLEG ESTIM EXCELENT,[1 0],Buena comunicación de parte del Vendedor Llegó antes de lo estimado.   Excelente,positive
79,MIR ATENCION *DAD,[0 1],Masomenos Recomendable no es. Si compran *cui miren la atención al cliente *dado.,negative
80,,[0 1],Decepcionante Casi tan fina como una sabana.,negative
81,EXCELENT TRABAJ EFECT FUNCION,[1 0],"Excelente Trabajo Muy efectivo, funcionó perfecto.",positive
82,MAL QUED PAREC PLASTIC,[0 1],Muy malo No queda ni parecido a la terminación de la tapa aplicándolo sobre plástico,negative
83,EXCELENT EXCELENT RECOM PRACTIC LIVIAN OCUP LLAMAT NECESARI ECONOM RECOM EXCELENT RECOM PRACTIC LIVIAN OCUP LLAMAT NECESARI ECONOM RECOM EXCELENT RECOM PRACTIC LIVIAN OCUP LLAMAT NECESARI ECONOM RECOM,[1 0],"Excelente Excelente producto lo recomiendo, es muy practico y liviano, ocupa poco espacio es poco llamativo es lo mas necesario y economico. Lo recomiendo.Excelente producto lo recomiendo, es muy practico y liviano, ocupa poco espacio es poco llamativo es lo mas necesario y economico. Lo recomiendo.Excelente producto lo recomiendo, es muy practico y liviano, ocupa poco espacio es poco llamativo es lo mas necesario y economico. Lo recomiendo.",positive
84,PREFIER COMPR HORRIBL INSTAL ROMP DEJ FUNCION RAR NINGUN CABL CORT FICH PAREC VERG,[0 1],"prefiero estirarme y comprar una placa PCI ó PCI-E Horrible, a los dos dias de instalado se rompió (dejaron de funcionar dos usb 2). Es muy raro porque no hay ningún cable cortado y las fichas físicamente parecen sanas. Probé mis headers del mother y funcionaban todos.   Una verga c: .",negative
85,FUNCION RECOM,[0 1],No funciono Nunca funciono el producto. No lo recomiendo,negative
86,BUEN BUEN ANDA RECOMEND,[1 0],Muy bueno Muy bueno. Anda muy bien. Recomendable,positive
87,COMPR MERC LIBR COMPR VIV QUIER FORM INMEDIAT TIEN IR COMPR VIV LOCAL PROBLEM CAMBI QUIER REPUEST CONECT FUNCION OBTUV RECLAM PESIM LUC PREND RAT APAG PAS TIEMP COMPR PACK LUC TIEN POBR AMABL SOLUCION OFREC ACERQU LOCAL VIV KM TECNIC VERIFIQU ENVI VIDE WHATSAPP VE VENDEDOR PID VIDE IMAGIN ENVI PACK REEMPLAZ LLEV FUNCION LAMENT TENG CALIF VERD RAZON RESULT PRACTIC ECONOM VENDEDOR IR NEGOCI VER CAMBI SEGUR OCURR,[0 1],"LA PEOR COMPRA QUE HICE EN MERCADO LIBRE NO COMPREN ESTAS LAMPARAS SALVO QUE VIVAN A UNAS CUADRAS DEL NEGOCIO Y LAS QUIERAN USAR EN FORMA INMEDIATA PUES SI FALLAN TIENEN QUE IR UDS. (PESE A QUE LAS COMPRE CON ENVÍO PORQUE VIVO LEJOS) AL LOCAL PARA QUE EL VENDEDOR VERIFIQUE EL PROBLEMA Y DECIDA SI SE LAS CAMBIA O NO. Y SI LAS QUIEREN PARA TENER DE REPUESTO LA GARANTÍA ES DE 30 DIAS Y CUANDO LAS CONECTEN Y NO FUNCIONEN NO VAN A TENER GARANTÍA. Es la respuesta que obtuve al reclamar. El producto es pésimo, las luces prenden y después de un rato, si las apagan, no vuelven a prender hasta pasado un tiempo. Compré un pack de 10 luces y todas tienen ese problema. Muy pobre la respuesta del vendedor. Muy amable pero la solución que me ofrece es que me acerque al local (vivo a 50 km) para que los técnicos verifiquen la falla, pese a que les envié 3 videos por whatsapp donde se ve como fallan (el vendedor me pidió el video). Imaginé que enviarían un pack de reemplazo y se llevarían las que no funcionan. Lamento que tenga calificación verde, razón por la cual hice la compra. Me resulta más practico y económico comprar a otro vendedor antes que ir hasta el negocio a ver si me las cambian. Tampoco me dan seguridad que eso ocurra.",negative
88,EXCELENT ERA,[1 0],"Excelente Todo bien, era lo que esperaba",positive
89,VEC HIJ ROMP TIEN AUJER DED MAND,[0 1],malisimo ya se le rompieron todas no la puede usar malisimo el producto estamos indignados las uso dos veces mi hijo y ya se le rompieron tiene un aujero que se le sale el dedo del pie ojala pudiera mandar una foto,negative
90,PANTALON CAR PANTALON PANTALON CONFECCION ACHIQU BOLSILL DESCRIPCION,[0 1],"Pantalon talle grande pinzado a posteriori, cualca Demasiado caro para lo que es, un pantalón de talle grande que le cocieron dos pinzas para achicarlo y aparentar ser un pantalón que se confeccionó originalmente con estas pinzas. Esto hace que se achique el bolsillo y que apenas entre la mano.   Deberían aclararlo en la descripción del producto.",negative
91,EXCELENT EXCELENT BUEN CALID,[1 0],"Excelente producto Excelente producto de muy buena calidad, muy conforme",positive
92,BUEN CONFORM BUEN ATENCION,[1 0],Bueno Conforme con el producto. Muy buena atención,positive
93,EXCELENT EXCELENT ENTREG FUNCION BARBAR,[1 0],"Excelente Excelente , me entregaron en menos de 2 ha y funciona barbaro",positive
94,EXCELENT BUEN RECOM,[1 0],Excelente Muy buen producto. Lo recomiendo.,positive
95,PES BAJISIM RENDIMIENT MEDI LLEG CARG TELEFON PES PRECI,[0 1],"pesado, bajisimo rendimiento, casi medio pelo. Testeado realmente, no llega a los 8000 mah, sirve para una carga completa de un telefono Samsung y un poco mas, pesa como burro muerto , por el precio, safa.",negative
96,BUEN QUEJ CUMPL FUNCION,[1 0],Muy bueno Sin quejas. Cumple su función a la perfección. Excelente atención.  Gracias!!,positive
97,ESPECTACUL EXCELENT RECOMEND,[1 0],Espectacular Excelente producto muy recomendable,positive
98,RECOMEND BIEN NINGUN PROBLEM ACUERD,[1 0],Pproducto muy recomendable. Muy bien. Por ahora ningún problema. Conforme de acuerdo a lo que esperaba,positive
99,MAL BAJ CALID,[0 1],"Muy malo Muy baja calidad, no vino plaqueta metalica.",negative
100,USAR PUED INFLAR FUNCION,[0 1],no lo pude usar aun no puedo inflar la bici. no se si no funciona o no es para bici,negative
101,DIVIN BUEN CALID,[1 0],Divino Me encantó.   Buena calidad  Tal cual lo que esperaba,positive
102,CALID EXCELENT MATERIAL TALL AJUST HIJ MEDIDAS; AMABL TOM MISM HIJ RECOMEND TOD BIEN REALIZ EXCELENT ACAB FINAL,[1 0],"Calidad Excelente material, la talla se ajustó perfectamente a mi hijo luego de conversar con el vendedor acerca de sus medidas; muy amablemente me guió para las tomas de las mismas y el producto superó mis expectativas y la de mi hijo. Recomendado 100%, adquirimos la filipina, el gorro y el faldón, todo muy bien realizado y excelente acabado final",positive
103,EXELENT EXELENT MAQUIN POTENCI 10,[1 0],exelente exelente maquina y potencia 10 puntos,positive
104,EXCELENT EXCELENT ESPER SUAV IMPEC LLEG TIEMP,[1 0],"Excelente Excelente, justo lo que esperaba, es muy suave. Impecable. Llego en tiempo y forma sin demoras.",positive
105,BUEN BUEN DURIT CIERR PRACTIC AGU JUG RECOMEND,[1 0],"Muy bueno Muy buen producto, practicamente sin sabor, el envase es durito y cierra bien muy practico para consumir con agua o jugos. Recomendable.",positive
106,ESPECTACUL TARD LLEG IMPEC ENTREG,[1 0],"Espectacular No tardó nada en llegar, impecable la entrega y el talle",positive
107,DESASTR DECEPCION ANDA ESPER PED DESASTR TOTAL PRESION SOL BAJ INTENS PUED CRE PROB RECOM,[0 1],"Desastre, decepción no anda dias de espera al pedo Desastre total, menos presión que la manguera sola, el motor sube y baja la intensidad no puedo creer que no sean probadas antes de mandarlas, no recomiendo para nada deplorable la atención",negative
108,COMENZ,[0 1],"Desconforme Muy mala calidad, duro menos de un mes enseguida comenzó a fallar ,muy desconforme",negative
109,CUID VENDEDOR MANCH PINTUR COST DEVOLU HAB LLEG CAMBI DEJ TENG CUID,[0 1],"cuidado con el producto y con el vendedor! A mi me vino manchado con pintura, me costo la devolución pq no me crean que me había llegado así. quise cambiarlo y no me dejaron. tengan cuidado!!!!",negative
110,EXCELENT BUEN QUED CONTENT,[1 0],Excelente Muy bueno quede muy contento hiupi,positive
111,EXCELENT CONTENT ERA,[1 0],Excelente Muy contenta con el producto.   era lo q esperaba,positive
112,BUEN CALID ESPER EXCELENT CALID FUNCION,[1 0],Muy buena calidad Tal cual lo que esperaba. Excelente calidad y funcionamiento,positive
113,MAL LIND COMOD TAP,[0 1],Muy malo El diseño es lindo y comodo de agarre pero pierde por la tapa. No me convencio,negative
114,TOD BUENISIM,[1 0],Todo de 10 Buenísimo el producto espectacular,positive
115,GENIAL GENIAL BUENISIM GRACI RECOMEND,[1 0],Todo genial Genial buenisimo gracias super recomendable,positive
116,DESPEG DESPEG TUV PEG PEGAMENT,[0 1],SE DESPEGÓ LA SUELA LA SUELA SE DESPEGÓ TUVE QUE PEGARLA CON PEGAMENTO,negative
117,MEJOR CALID PRECI FUNCION PERFECT PC MAL,[1 0],Lo mejor en calidad / precio Funciona perfecto en pc y ps4 . Lo unico malo es que pesa muy poco.,positive
118,EXELENT BUEN PROBLEM,[1 0],Exelente Muy bueno adaptación sin problemas,positive
119,MAL MAL,[0 1],Muy malo Tetrico mal funcionamiento producto defectuoso,negative
120,COMPLET EXELENT CALID LIND ENCANT LLEG TIEMP CAS,[1 0],Muy completo y exelente calidad Muy lindo me encanto !!!!llego a tiempo y a mi casa gracias,positive
121,LLEG CORRECT PUBLIC CORRECT COMOD ERA SOLICIT,[1 0],Llegó correcto y es el producto de la publicación Correcto y cómodo. Era el producto solicitado.,positive
122,VIEN CABL CABL PRETEND,[0 1],No viene con cable USB No viene con cable USB. No se como pretenden que uno la conecte,negative
123,BUEN BUEN RECOMIND,[1 0],Muy bueno!!! Muy buen producto!!! Lo recomindo,positive
124,EXQUISIT EXCELENT RECOMEND,[1 0],"Exquisito Excelente Malbec,muy recomendable",positive
125,EXCELENT BUEN RECOMEND,[1 0],Excelente Muy bueno totalmente recomendable,positive
126,EXCELENT GENIAL BUEN RECOMEND,[1 0],"Excelente Genial... muy buen producto, 100% recomendable",positive
127,RESULT IMPOS PROB SON MALISIM DA GRAND PAS MATERIAL BUEN,[0 1],Malo -Nos resultó imposible de configuar con el wifi (horas de probar).   -El sonido es malísimo.   -Da muy poca luz para ser un artefacto tan grande por lo que no pasa para nada desapercibida.  La calidad de los materiales es buena y estéticamente está bien también.,negative
128,PRACTIC EXCELENT CONOC,[1 0],"Práctico Excelente producto, ya lo conocía!!!",positive
129,REGUL DUR SEMAN CONTROL QUEM,[0 1],Regular Me duro 2 semanas el control y uno ya se me quemo.,negative
130,ESPAÑOL SENSIBL REQUIER TOM,[0 1],"Malo FALTA INSTRUCTIVO EN ESPAÑOL.  NO ES SENSIBLE, REQUIERE VARIAS TOMAS.",negative
131,EXCELENT MARAVILL EXCELENT HERMOS BUEN CALID,[1 0],Excelente maravilloso Excelente hermoso buena calidad,positive
132,CHIC RESPECT,[0 1],Masomenow Me pareció muy chica con respecto al talle,negative
133,BUEN BUEN CELUL PAR COS GUST GRAND CARG CABL LLEG CARG BIEN APLICACION APLICACION TRAB CALIENT CARG PER MUND,[1 0],"muy bueno muy buen celular... un par de cosas no me gustan como, el pin de carga es mas grande y solo podes cargarlo con el cable que te llega con el celular, con el cable micro usb no lo podes cargar... por lo demas muy bien salto de aplicacion en aplicacion y no se traba, calienta un poco al cargarlo pero nada de otro mundo",positive
134,EXCELENT COMPLET BUEN CALID PRECI RECOM SITI MIL GRACI MIL,[1 0],"Excelente! Todo completo, buena calidad del art. Excelente producto, precio y usuario. Recomiendo ampliamente a todos en el sitio. Mil gracias. Mil éxitos más!!!",positive
135,ENCANT LIND BUEN CALID FRI,[1 0],"Me encantan Muy lindos, de buena calidad, de 5º para arriba andan bien, para mas frio no creo",positive
136,EXCELENT BUEN GRACI,[1 0],Excelente Excelente. Muy buen producto. Gracias,positive
137,VEN QUEM CIERR BLANC ERA CALID PERD CARTUCHER,[0 1],Venían de 2 calidades distintas perdí 15 cartucher Se quemaban todas las de cierre blanco era otra calidad perdí 15 cartucheras.,negative
138,EXCELENT EXCELENT BUEN CALID,[1 0],Excelente Excelente producto muy buena calidad,positive
139,DESEPCION ESPER VOLV,[0 1],Desepcion con el producto No es lo que esperaba . No lo volvería a comprar,negative
140,BUEN BUEN EXCELENT RESULT PUBLIC,[1 0],"Muy bueno Muy buen producto!!! excelente resultado, tal cual describe en la publicación.",positive
141,MAL ENGAÑ DIC MAND RESPOND MENSAJ,[0 1],Muy malo Estaba hermoso. Pero publicación es engañosa dice 2x1 y sólo manda un kit y mo responde los mensajes,negative
142,BUEN BUEN ENTRETEN NIÑ,[1 0],Buen producto. Buen producto calidad/precio. Muy entretenido para niños y adultos.,positive
143,MAND IMAG PER MAND COS,[0 1],"Deberian mandar lo q uno pide Esa es la campera q yo pedi la de la imagen, pero mandaron cualquier cosa. No me gusto",negative
144,MAL FILTR ERAN,[0 1],Muy malo El filtro del habitáculo y del aire no eran para el grand siena.,negative
145,RECOM PIERD CALOR,[0 1],no lo recomiendo muy mala la planchita pierde el calor,negative
146,HERMOS ESPECTACUL BUEN,[1 0],Hermosa! Espectacular!!!! Muy buena la patineta!!!!,positive
147,BUENISIM NIÑ FUERON CEPILLIT,[1 0],Buenísimo! Excelente.. los niños se fueron re contentos con sus cepillitos.. graciss,positive
148,MAL MAND PARAGUIT PREGUNT DIJERON COMPR COMPR MAND MOIS MAND PARAGUIT CAPTUR PANTALL PREGUNT MOIS VIERON TIEMP PED ERA TENG MOIS PIDI RECOM,[0 1],"Muy malo Pedi moises me mandaron paraguitas. Hice las preguntas de stock de moises, me dijeron que si había,  lo compre.. apenas lo compre mande que quería moises.. me mandaron paraguitas porque no había stock de moises. Le mande las capturas de pantalla de que pregunte y pedí moises, ni las vieron.  No tuve tiempo ni de pedir que me lo cambien,  era para el día del niño, gaste 1000 para que mi nena no tenga el moises que me pidio.. no lo recomiendo",negative
149,BUEN BUEN TOD,[1 0],"Muy bueno Muy buen producto, todo diez puntos",positive
150,EXCELENT NIÑ DISFRUT MONTON RESISTENT,[1 0],Excelente Excelente! Los niños lo disfrutan un montón! Y súper resistente para ellos!,positive
151,MAQUIN EXCELENT CUANT PRECI TIEN PROBLEM GRAND TEMPERATUR LLEG CPU LOCUR DEB SUPER TERMIC JUEG EXIGENT VERDADER LASTIM DEB TERMIC PON TERMALPATS CAS FUND MAQUIN DISFRUT PERD PUS BUEN TOD TECL PROBLEM TIEN MAQUIN TEMPERATUR COMPR,[0 1],"Una máquina que calienta mucho!! La maquina es excelente en cuanto al precio, pero tiene un problema grande de temperatura, llega a los 97/100 el cpu lo cual es una locura, normalmente no debería superar los 85. El problema es la pasta térmica, yo le puse la ic diamond y nos termalpats logre bajarla a 88/89 grados en juegos exigentes como apex. Es una verdadera lástima si la compran deberán si o si cambiar pasta térmica y poner termalpats caso contrario vas a terminar fundiendo la maquina y no disfrutando nada, perdiendo la guita que pusiste que no es poca. El resto muy bueno todo tanto teclado como pantalla y funcionamiento. Antes de comprar vean en Google el cpu(modelo) y todos los problemas que tienen varias máquinas de temperatura y sobre todo esta antes de comprarla.",negative
152,MAL REGULACION COLOC IMAG,[0 1],Malo Muy malo no tiene regulacion para colocar el celular y la imagen es pesima,negative
153,BUEN BUEN MEJORCIT NACIONAL,[1 0],Muy bueno! Muy buena producto. De lo mejorcito que hay nacional,positive
154,TRAJ ALGUN COS COS BUEN,[0 1],No trajo alguna cosas como cola y otras cosas Bueno solamente  no lo que espere,negative
155,MAL CAS VIDRI VIN CORT TORC AMBOS RAYADUR MISM BARAT ELEG SUCED SUCED CONTROL CALID,[0 1],"Malo En mi caso uno de los vidrios vino cortado totalmente torcido, y ambos con rayaduras. Acá en MC, otro vendía lo mismo más barato y elegí este para que no me suceda lo que sucedió. No hubo control de calidad.",negative
