,Unnamed: 0,content,sentiment,raw,rate
13,13958,MAL NO SIRV ERA,"[0, 1]",Muy malo Pésimo producto no me sirvió era para un voyage,negative
14,16929,BUEN GUST BOLSILL MEJOR,"[1, 0]",Bueno Excelente. Solo q para mi gusto con Bolsillos hubiera estado mucho mejor.,positive
15,7118,BUEN ECONOM BUEN,"[1, 0]",Fue muy buena la atencion y mas economica Muy bueno el producto yo ya lo conocia,positive
16,545,PESIM COMPR PATAGON NO ASIENT CHIC VERD,"[0, 1]","Malisimas Son pésimas, compre las de la patagónica y no trae para el cinturón del medio, los asientos son chicos, la verdad irrecomendable!!!!",negative
17,8189,TAPIZ CARG NO HAC ECHA NO HAC COMPR COM REGAL NO RECOM O O,"[0, 1]","Malo Llegó roto el tapizado. El transporte vía cargo no se hace responsable. Les echa la culpa ustedes por no saber embalar. En fin uno hace una compra de 8000 como que te regalan el producto..mala experiencia, no los recomiendo. O embalen bien el producto o cambien de transporte...",negative
18,11696,MAL ME MAND ME RESPOND MENSAJ MAL ATENCION,"[0, 1]",Muy malo Pedí talle XL y me mandaron luego de 3 semanas XXL encima jamás me respondieron los mensajes muy mala atencion,negative
19,5620,RECOMEND PUNTUAL,"[1, 0]",Recomendable Todo muy bueno. Muy puntual la entrega. Superconforme.,positive
20,17830,ESPER VENDEDOR MAL SALI NO RECOM,"[0, 1]",Estoy esperando q el vendedor me lo cambie . Muy malo me salio el producto . No lo recomiendo,negative
21,14971,BUEN EXCELENT BUEN,"[1, 0]","muy bueno excelente, muy buena la mochila y la bosa de agua!!!!",positive
22,5373,BUSC,"[1, 0]","LO que buscaba Todo perfecto,las roscas funcionan bien y es el unico que vi con dos esferas intercambiables,muy util.  Calida inmejorable.Estoy super conforme.",positive
23,4098,NO LIND FEA TERMINACION ACUERD PRECI,"[0, 1]",No muy lindas Fea terminacion costuras torcidas. El material bien de acuerdo al precio,negative
24,274,EXCELENT EXCELENT COMOD,"[1, 0]",Excelente Excelente producto. Muy cómodas,positive
25,5595,MAL MAQUIN NO BUEN MANCH TOD,"[0, 1]","Mala La máquina no es buena, mancha todo",negative
26,3103,EXCELENT EXCELENT BUEN FACIL,"[1, 0]",Excelente Excelente.  Muy bueno y  fácil instalación,positive
27,2954,NO RECOM ES EL NO FUNCION ESTOY DESILUCION NO POD VINCUL EL BLUETOOTH NINGUN CELUL BUEN NO FUNCION,"[0, 1]","No lo recomiendo para nada. Es malisimo El palo selfie no funciona, estoy muy  desilucionada..no he podido vincular el Bluetooth con ningún celular. Lo deje cargar buen, pero no funciona",negative
28,10613,NO ES ESPER PRECI,"[0, 1]",Malo No  es lo que esperaba por el precio,negative
29,5251,NO PRACTIC COLOC,"[1, 0]",Util. como mochila anda barbaro pero no es muy practico para colocarlo en la moto.,positive
30,6172,HERMOS LIND ESTOY,"[1, 0]","Hermoso Muy lindo, estoy muy conforme, muchas gracias",positive
31,17556,EXCELENT FLU LIVIAN FRESC NO DEJ,"[1, 0]","Excelente Fluida, liviana, fresca, no deja la piel grasa.",positive
32,10575,BIEN EXCELENT EL EL,"[1, 0]",Todo muy bien Excelente el producto y el comerciante,positive
33,17841,TEL DELG NO RECOM LA TEL DE NO LON COM LA L DELG NO RELACION EL PRECI,"[0, 1]",Tela muy delgada. No recomiendo La tela es de muy mala calidad no es lona como la origina;l es super delgada...no tiene relacion con el precio,negative
34,15426,BUEN INSTAL NO INSTAL CALENT TOALL SE VE BUEN CALID SOPORT METAL FIRM TIEN TECL ENCEND EN DISEÑ EN TOALLER,"[1, 0]",Buen producto facil de instalar Aun no lo instalo pero calienta bien como para calentar las toallas sin quemarlas y de paso templar el baño. Se ve buena calidad soportes de metal firmes. Tiene tecla de encendido y creo q es mas facil colgar en este diseño q en otros toalleros.,positive
35,1862,NO ES ESPER NO ES CONSUM PAG LUZ,"[0, 1]",No es lo que esperaba No es bajo consumo. De 3mil q pagaba de luz me vino 9mil.,negative
36,4126,,"[0, 1]","Malo Malisima calidad,la verdad me arrepiento",negative
37,2643,EXCELENT UTIL VERD PRACTIC,"[1, 0]",Excelente Muy útiles la verdad muy practicas,positive
38,1878,BARBAR BUEN BUEN VENDEDOR,"[1, 0]",Barbaro Mi buen producto  .. y muy buen vendedor,positive
39,15385,BUEN BUEN LIVIAN,"[1, 0]",Muy bueno buen producto. es muy liviano y chiquito,positive
40,1346,EXCELENT RAP EN EL MUND VERD IMPECABLEEE RECOMEND,"[1, 0]","Excelente Lo más rápido que vi en el mundo, la verdad que IMPECABLEEEE, 100% RECOMENDADO",positive
41,3432,PESIM NO FUNCION NO DECEPCION,"[0, 1]",Pésimo No funciona perfectamente...  No tira y me decepcionó,negative
42,7507,NO VE NINGUN RESULT NO ES PROMET,"[0, 1]",Nada Asta hora no se ve ningún resultado no es lo que prometen,negative
43,8917,PLASTIC PLASTIC,"[0, 1]",Plastico malo chino Es plastico. Contactos y traba de tubo defectuosos.,negative
44,11451,BUEN BATIDOR NO MUCH BUEN,"[1, 0]","alto licuado Buena batidora, no mucha potencia peo buena por el valor.",positive
45,15659,NO NOT DIFERENT NO TENG HIDRAT OJER NO MEJOR,"[0, 1]","Malo Hace semanas que la uso. No noté ninguna diferencia, no tengo ni más hidratado y las ojeras no mejoraron.",negative
46,11061,EXCELENT EL LLEG EN TIEMP FORM EL EXCELENT,"[1, 0]",Todo excelente. El producto llegó en tiempo y forma. El vendedor excelente.,positive
47,18722,MAL NO DUR,"[0, 1]","Muy malo malisimo, la batería no dura nada",negative
48,18249,VENC VENC DEVOLV DINER,"[0, 1]",vencido Estaba vencido y me devolvieron el dinero,negative
49,13143,UNIDAD UNIDAD PROB CAMBI,"[0, 1]","Malo Compre 5 unidades y las use solo una vez. De esas 5 unidades que utilice 3 de me dejaron de funcionar, y ya probé con cambio de pila.",negative
50,1481,EXCELENT LLEG BARBAR RAP PROLIJ INCLU REGALIT TOD DETALL DE BUEN EN,"[1, 0]","Excelente Llego barbaro y rapido prolijo, Incluyeron un regalito que es todo un detalle de buen gesto en estos dias.",positive
51,5830,BUEN A BUEN ES BUEN EN GENERAL BUEN RELACION PRECI CALID EL CALOR NO SE SIENT LO RECOM NO PRESENT NINGUN PROBLEM,"[1, 0]","De bueno a muy bueno es Bueno en general, y muy bueno por su relacion precio y calidad, el calor mucho no se siente pero lo recomiendo no presenta ningun problema.",positive
52,13966,MALISIM,"[0, 1]",malisimo el efecto solo duro dos dias.,negative
53,14677,MAL FUNCION BIEN PER NO ORIGINAL,"[0, 1]","Muy malo Funciona muy bien, pero NO es ORIGINAL.",negative
54,16613,NO RECOMEND VERD DESCONECT A TEN BATERI VERD NO RECOMENDARI,"[0, 1]",Mala compra! No recomendable La verdad que se desconecta a cada rato teniendo baterias! La verdad no lo recomendaria para nada,negative
55,11102,BUEN USAD BUEN,"[0, 1]","Bueno Lo he usado poco, pero está bueno.",negative
56,13012,NO BUEN NO BUEN SIRV,"[0, 1]",No muy buenos No muy buenos se les sale la parte d la esponjita con el removedo d extensiones d #pestañas. Sirven para salir del paso,negative
57,11698,EFECT ES EFECT NO ES PRIMER VEZ ME DA EXCELENT RESULT,"[1, 0]","Muy efectivo Es un producto sumamente efectivo, no es la primera vez que lo uso y siempre me da excelentes resultados.",positive
58,7568,BUEN BUEN RECOMEND DEJ LIND PROTEG AL ORIGINAL,"[1, 0]",bueno muy buen producto! recomendable 100%  deja la moto muy linda y protege al original,positive
59,3924,EXCELENT BUEN FACIL ARMAR ENTRETEN EL EN TIEMP FORM RECOMEND,"[1, 0]",Excelente Muy buen producto fácil de armar y entretenido para el niño.. Llego en tiempo y forma!! recomendado,positive
60,7516,BASIC LIENZ UTILIZ ES FINIT ESPER CALID,"[0, 1]",Basico El lienzo utilizado para el faldón es muy finito. Esperaba otra calidad.,negative
61,7503,CONFORM Y LO RECOM ES BIEN Y ES MUCH RAP APARAT HABITUAL UTILIZ EN COMERCI PAR PAG CON DEBIT O DE LO PUED USAR EN NO DE LOCAL COMERCIAL TIEN VENTAJ PODES GAN DINER UTILIZ FIJ TIEN DE APLIC ESTOY CONFORM Y LO RECOM,"[1, 0]",Muy conforme y lo recomiendo. Es un poco caro. Pero funciona muy bien y es mucho más rápido que los aparatos habituales que se utilizan en los comercios para pagos con débito o tarjeta de crédito. Lo puedo usar en cualquier lugar. No solamente dentro de mi local comercial. Tiene la ventaja que podés ganar dinero utilizando el plazo fijo que tiene dentro de la aplicación. Estoy muy conforme y lo recomiendo.,positive
62,4874,EXCELENT BUEN EN RELACION CALID PRECI,"[1, 0]","Excelente muy bueno, en relación calidad precio.",positive
63,19641,ELEG CAR NO NO PEG BIEN EL LE,"[0, 1]",decepcionada. elegí la más cara y no sirve. no pega bien el esmalte. le falta potencia.,negative
64,13375,ESPER UTIL BUEN CALID RECOMEND,"[1, 0]",Cumple con lo esperado Muy útil. Buena calidad   Recomendable 100%,positive
65,15750,NO RECOMEND NO RECOM EL LA IMAGEN NO RELACION EL EN FIN TENG COMPR OTRO NO,"[0, 1]","NO RECOMENDABLE. NO LO RECOMIENDO. El mates es de pésima calidad. La imagén no tiene relación con el producto. En fin, tengo que comprarme otro mate. NO cumplío con las especificaciones acordadas.",negative
66,16145,OJAL ESTOY COMPR NO LLEG COM LLEG Y DIO A FALT,"[0, 1]",Ojala me manden siempre estoy comprando No me llegó las 30 madejas como dice me llegó 25 hice el reclamó y la chica nunca que me dió una respuesta si me iban a mandar lo que faltó,negative
67,5961,EXCELENT MUCH EXCELENT MUCH,"[1, 0]",Excelente producto. Muchas gracias. Excelente Producto. Muchas gracias.,positive
68,3290,EXCELENT CABIN POTENT PRACTIC BUEN,"[1, 0]","Excelente HERMOSA CABINA, SUPER POTENTE, TACTIL, PRACTICA, LO UNICO CABLE CORTO! PERO RECOMENDABLE 100X100!!!! COMPRA DE LAS BUENAS!!",positive
69,8962,SISTEM DE CALIF DESE CALIFIC UN PRODUCT ESPECIF COMPR A UN VENDEDOR ESPECIF EN CAMBI MI CALIF IRA A A PRODUCT DE VENDEDOR QUE TENG EL MISM NOMBR CALIF SAB EL PRODUCT QUE LLEG ES MAL PUNT TUB SIRV DELIC DE SE SE O SE DESPUNT EL MANG ES DE DE FUNCION AL PRIM EL PRECI QUE PAG DE UN PAQUET DE ENVI COM EL ES UTIL SI TEN PUNT BUEN DAND VUELT,"[0, 1]","Sistema inefectivo de calificación Deseo calificar un producto específico comprado a un vendedor específico, pero en cambio mi calificación irá a parar a todos los productos de todos los vendedores que tengan el mismo nombre y calificación. Sabido esto, el producto que me llegó es muy malo, las puntas y los tubos sirven para trabajos muy delicados, fuera de eso se doblan, se mellan o se despuntan. El mango con criquet es de juguete. Mayormente plastico y chapa plegada, dejó de funcionar al primer uso. Por el precio que lo pagué y estando dentro de un paquete de envío vale la pena como una herramienta descartable y el estuche es útil si tenes puntas buenas dando vueltas.",negative
70,563,SENSACIONAL BUEN JUST TRABAJ,"[1, 0]",sensacional muy bueno es justo lo q necesitaba para mi trabajo,positive
71,14410,EXCELENT LLEG RAP ANDA BIEN LIND PRECI CALID BIEN,"[1, 0]",Excelente Llego rápido anda bien es estéticamente lindo precio calidad bien ??,positive
72,14008,LA DUR LA LA LA QUE TE RECOMIEND NO GUARD VALOR EN Y TOD AL PED APEN LA QUED TOD Y EN LA Q AL TEN Q TOD LA LO Q GOOGL EN LA MISM PAGIN GOOGLEPLAY LA GENT MISM PROBLEM Y SOLUCION,"[0, 1]","decente cámara, inútil software la felicidad me duro poco con la camarita, la configuras fácil pero la app que te recomiendan (ipc View) no guarda los valores en Android y es todo al pedo, apenas cerras la app, queda todo de cero y si estás en la calle sonaste, por q al tener q configurar todo de cero pierde la gracia. lo peor es q googleando hasta en la misma página de googleplay de la app ves gente con el mismo problema y sin solución...",negative
73,7727,EXCELENT BUEN CALID NAD REPROCH,"[1, 0]","Excelente Muy buena la calidad, nada que reprochar",positive
74,6508,EXCELENT EXELENT RECOMENDADISIM,"[1, 0]","Excelente exelente producto, recomendadisimo",positive
75,3670,MAL N FALS GRAND NUMER TIEN PERSON NO ENTIEND PERMIT MERC LIBR,"[0, 1]",Muy malo... El n de referencia es falso Entre un talle más grande. Además el número q tiene de referencia es de otra persona. No entiendo cómo permite esto mercado libre.,negative
76,5948,AGRADEC A TIEMP BUEN CONDICION MUCH GRACI,"[1, 0]",agradecida excelente todo llego a tiempo y muy buenas condiciones muchas gracias,positive
77,10506,UN ROB TENG DEC RESULT UN FRAUD NO MAND A REPAR VEND NO DAR FUNCION O DINER ES FABRIC UN FRAUD,"[0, 1]","Un robo Puse una porque tengo que decir que resultó un fraude no la pude usar, la tuve que mandar a reparar porque según quien me la vendió no me puede dar otra que funcione o devolverme el dinero, según ellos la culpa es del fabricante, un fraude.",negative
78,8084,BIEN EN PRECI CALID PRECI CALID BUEN PER A TALL PER BIEN DIC TALL CHICOSSS NO REAL APRET BIEN PER EN PRECI CALID,"[1, 0]",Bien en precio calidad le  doy 5 por que la verdad por precio calidad son muy buenos ..   pero a pesar de ser mi talle  pedi 42 pero  como bien dice la  publicacion son talles chicosss...  no es un 42 real ...   me apretan un poco ( lo uso bien sin cinturon ) y apenas un poquito corto ..   pero en precio calidad son exelentes,positive
79,885,TOD PERFECT TOD PERFECT BUEN CALID,"[1, 0]","Todo perfecto Todo perfecto, muy buena calidad",positive
80,15250,MAL L NO VIEN MAL MARC S NO REPLIC,"[0, 1]",Malo El talle L no lo es viene mal marcada es un s la tuve q regalar y no es ni replica una pena,negative
81,15387,CALIFICACIÒN EXCELENT DEMOR PRODUJ EN EL CORRE,"[1, 0]",Microondas Tío Musa cumplió con la entrega del microondas. Por eso mi calificaciòn es excelente.  La demora se produjo en el correo,positive
82,12425,BUEN NINGUN PROBLEM,"[1, 0]",Seguire contandolos como proveedores Muy buen producto. se coloco perfectamente sin ningun problema. saludos,positive
83,16572,EXCELENT EXCELENT BUEN CALID LLEG TIEMP,"[1, 0]",Excelente! Excelente! Muy buena calidad¡ Llegó antes de tiempo,positive
84,6247,SUP EXCELENT MEDI REQUISIT LA CAM EXCELENT SUP LIVIAN CRITIC LARG MEDI INCOMOD SUP LA,"[1, 0]","Super recomendable Excelente celular, para ser de gama media tiene todo los requisitos que esperaba. La dos camaras son excelentes. super liviano. Lo unico que tendria para criticar es que es bastante largo, medio incomodo ...pero te acostumbras. Super recomendable. Existe la relacion precio-calidad",positive
85,17670,PROVISORI NO VE BIEN EL NO TRABAJ COM EL ORIGINAL IMAG DEFORM ENCASTR BIEN AJUST ELECTRON NO LOGR EL MAL AJUST RECOM BUSC OPCION,"[0, 1]","Solo sirve provisoriamente, no se ve bien El espejo no está trabajado ópticamente como el original, la imagen se deforma. Encastra bien, pero cuando uno intenta ajustarlo con la perilla electrónica no se logra el movimiento adecuado y queda mal ajustado. Recomiendo buscar otra opción, esta solo sirve para salir del paso.",negative
86,2968,EXCELENT BUEN POSE BONIT BUEN NO PRODUC PICAZON NI SAL GRANIT L S ATENT GENTIL,"[1, 0]","Excelente Buen producto, posee un bonito aroma, buena textura, la usa hace poco, no produce picazón, ni salen granitos. L@s vendedores muy atentos y gentiles.",positive
87,14392,PRIMER VIN NECESARI,"[1, 0]",Maravillosa De primera y vino con todo lo necesario para usarla inmediatamente,positive
88,988,COMOD COMOD SENSIBL TACT +10,"[1, 0]",Comodo bastante comodo y sensible al tacto +10,positive
89,14636,MAL NO VIST RESULT POSIT,"[0, 1]","Muy malo Hace tres meses que lo consumo, aún no he visto  resultados positivos.",negative
90,3207,ME ROMP PRIMER USAD DESPEG,"[0, 1]",":( se me rompieron en la primera usada, se despegaron todas.",negative
91,713,MAL MAL NO ENCAJ BIEN EN,"[0, 1]",MALA MATRIZ El calce es malo! no encaja bien en el buche y sobresale del guardabarro!!!,negative
92,3458,HORRIBL NO,"[0, 1]",Horrible No es lo q esperaba..material muy trucho,negative
93,13714,EXCELENT CONOC BUEN PROTECTOR COMPR,"[1, 0]",Excelente Lo conocía. Es un buen protector y por eso lo compré.,positive
94,10156,LIND COM LLEG,"[0, 1]",Malo Muy lindo lo re comiendo me llego tal cual pedi gracias,negative
95,3915,NO VOLV A PANTALON CHIC OTRO OTRO GRAND,"[0, 1]",No volvería a comprar 1 pantalón chico de bota manga..  otro bien y el otro muy grande de cintura.,negative
96,18365,ANDUV INUT RESOLV PERD,"[0, 1]","Pesimo Vino roto, nunca anduvo, hablé 20 inutos x celular y nada se resolvió. Perdí 1000 pesos.",negative
97,9591,PACT GRACI,"[1, 0]","Satisfecho Excelente producto, excelente vendedor, tal cual lo pactado.  Gracias.",positive
98,15753,QUER PIERN,"[0, 1]","Malo la verdad muyyyyy ordinarios,pasas,lo tocas sin querer con la pierna y lo quebras ....",negative
99,7835,BONIT PRACTIC EXELENT,"[1, 0]","Perfecta Muy bonita y practica, simplemente exelente",positive
100,17259,BUEN LIND,"[1, 0]",Muy bueno Muy lindo y potente sonido. Más de lo que esperaba.,positive
101,17641,EXCELENT BUEN LIVIAN HERMOS MODEL,"[1, 0]","Excelente Estan muy buenas, super livianas. Hermoso modelo",positive
102,7575,BUEN ATENCIÒN BUEN,"[1, 0]",Muy buena atenciòn del vendedor. Muy buen pruducto. Recomendable.,positive
103,1467,MAL BUEN LIND,"[0, 1]","Malo El producto muy bueno,  lindo el color azul. Mantiene el agua caliente",negative
104,1517,MAL PUNT GOLP CALID ES MAL ES UN PAPEL PEG PRONT DESPEG,"[0, 1]","Mala Tiene las puntas golpeadas, la calidad es mala es un papel pegado que pronto se despegara.",negative
105,14942,NO ORIGINAL LOGR,"[0, 1]",Truchas. No son originales.  El producto esta bien logrado.,negative
106,17842,EXCELENT EXCELENT LLEG EN,"[1, 0]","Excelente Excelente producto, y llegó en perfectas condiciones!.",positive
107,1437,BUEN CUERD EN PRECI CALID,"[1, 0]",exelentes muy buenas cuerdas!! en precio y calidad,positive
108,10397,EXCELENT COMOD ESPER GRACI,"[1, 0]",Excelente Son muy cómodas y justo lo que esperaba. Gracias!,positive
109,4834,RECOM BUEN CALID RESISTENT,"[1, 0]","La Recomiendo Muy buena calidad y resistente, protege perfecto el celular",positive
110,2787,EXCELENT EXCELENT VENDEDOR ATENT EL LLEG,"[1, 0]","Excelente excelente vendedor, muy atento, el producto llego muy bien!",positive
111,7259,EXCELENT EXCELENT ATENCION BUEN,"[0, 1]",excelente excelente atencion .muy buen producto,negative
112,10631,EXCELENT EXCELENT AMABL BUEN ATENCION,"[1, 0]",Excelente Excelente  muy amable buena atención.,positive
113,6689,RECOMEND ES FICHER NO VIEN LAS CARPET COS QUE NO ACLAR EN LA DESCRIPCION LAS FOT ENGAÑ PLASTIC VE VIEJ NO QUED FIRM DE PLASTIC PAR DE DE NO RECOMEND,"[0, 1]","Pra nada recomendable Es el fichero solo, no vienen las carpetas, cosas que no se aclara en la descripción. Las fotos son engañosas. El plástico se ve viejo y no queda firme al momento de armarlo. Son dos plásticos y un par de barritas de aluminio.  No recomendable",negative
114,4144,BUEN ERA HABI PED LLEG,"[1, 0]","muy bueno era lo que yo habia pedido, llego bien",positive
115,4203,NO FUNCION FORM TODAV NO FUNCION CONTACT POR OPORTUN PROMET MAND UN INSTRUCT HIC ERA APTO DIJERON NO SERL,"[0, 1]",No funciona de ninguna forma Todavía no lo pude hacer funcionar. Los contacté por msj en varias oportunidades y prometieron mandar un instructivo y nunca lo hicieron. Antes de comprar pregunte si era apto para bgh y dijeron que si. Obviamente no debe serlo,negative
116,15931,CORRECT CORRECT BUEN CALID RECOMEND,"[1, 0]",Correcto Todo correcto . Buena calidad. Recomendable,positive
117,11485,NO ME GUST EL NO CUBR MIS EXPECT PROBLEM AL SELECCION EL HAC DELG A LA RESULT RODILL CED SE SEP LA NO AL DES LATERAL HAC ME ENCUENTR LA SORPRES RODAMIENT PIÑON DEL SE ENCUENTR SOLD AL EJE DESASTR TIEN PENS COMPR HAG ESFUERZ COMPR MEJOR,"[0, 1]","No me gustó el producto No cubrió mis expectativas,  tuve problemas al seleccionar el paso más fino para hacer lo más delgada posible a la masa, resulta ser que los rodillos ceden (se separan entre si) por lo tanto la masa no sale al espesor deseado, saque una tapa lateral para ver que podía hacer pero me encuentro con la sorpresa que todos los rodamientos y piñones del mecanismo se encuentran soldados al eje.. un desastre.. Si tienen pensado comprar ésta haga un esfuerzo y compren algo mejor..",negative
118,13272,RECOMEND BUEN CALID PRESENT DIDACT,"[1, 0]",Recomendable Muy buena calidad de presentación y muy didáctico.,positive
119,13420,EXCELENT EXCELENT BUEN ALAMBR RECOMEMD,"[1, 0]",Excelente Excelente producto. Muy buen alambre. Totalmente recomemdable,positive
120,6656,BUEN BUEN HAY DEDIC TIEMP A A IDEAL,"[1, 0]","Muy bueno Buen producto, hay que dedicarle tiempo a aprender a usarlo pero es ideal para niños.",positive
121,7007,BUEN BUEN,"[1, 0]",Muy bueno Muy bueno el producto .. es lo que esperaba ..,positive
122,12237,BUEN D,"[1, 0]",buenisimo Muy buen producto.Mas d lo q esperaba,positive
123,15280,EXCELENT HERMOS FUE ESPECTACUL REGAL,"[1, 0]",Excelente!! Muy hermoso! Fue un espectacular regalo de cumple :D,positive
124,6183,EXCELENT EXCELENT PRECI CALID TOD ACORD,"[0, 1]","Excelente Excelente precio y calidad, todo como se acordo",negative
125,10708,COMPART AMIG PAR FIEST RECOMEND PAR,"[1, 0]",Compartir con amigos adultos Perfecto para animar las fiestas! Recomendado para adultos. Entrega rápida. Muchas gracias!,positive
126,9631,MAL CASUAL NO QUEM PENDRI FUEG EN,"[0, 1]",Muy mala. De casualidad no se quemo la moto. Se pendrio fuego en cuanto lo conectamos,negative
127,6584,,"[1, 0]",Eexcelente Todo o.k 100 x 100 recomendable atte Guillermo,positive
128,4306,NO ES IGUAL A PRECI ESTAN,"[0, 1]","... No es igual a la foto! Pero por el precio, están bien.",negative
129,762,NO ORIGINAL,"[0, 1]",Usables bonitos pero no son originales,negative
130,7026,CARISIM ES CAR LA CALID PRESENT TEN EN ES REEMPLAZ ORIGINAL ERA VIDRI ACORD A LA BAS ES MAL RELACION,"[0, 1]","Carísimo Es muy caro para la poca calidad que presenta, teniendo en cuenta que es un reemplazo del original que era de vidrio acorde a la base que es de acero inoxidable. Muy mala relación precio/calidad",negative
131,13217,RECOM COMPR BUEN N ESPER,"[0, 1]",Se lo recomiendo a todos q lo compre a la persona Excelente calidad muy bueno  N esperaba q fuera buy,negative
132,5951,NO COMPR ESTAB PINT FIBR NOT ERA,"[0, 1]","no lo compraría estaba el borde pintado con fibra, se notaba que era la marca para pegarlas, mala confección, muy desprolijas, parecían de segunda selección.",negative
133,1271,BUEN BUEN RECIBI,"[1, 0]",Muy buen producto Muy bueno recibi lo que esperaba,positive
134,18721,DEMOR LLEG NO LIND CALID NO GUST NO,"[0, 1]",Demoro mucho en llegar y no es muy linda calidad No me gusto no es lo que esperaba,negative
135,14214,MATERIAL COMOD,"[0, 1]",Eexcelente Excelente el material. Muy cómodo,negative
136,3949,REGUL PENS ERA CUER LEGITIM BUEN SE POD CONSEGU CUER LEGITIM EN EL PARECI ELEV PENS ERA CALID CON RELACION AL PRECI SAC CALID CORRECT ESPACI,"[0, 1]","regular pense que era de cuero legitimo pero bueno, se podía conseguir algo de cuero legitimo en mi ciudad por $200 pesos el valor me parecio un poco elevado pense que era de una mas alta calidad, con relacion al precio , sacando calidad lo demas esta correcto, espacio tarjetero etc.",negative
137,5250,LIND PEQUEÑ BASTANT BLAND CAPAZ PRECI,"[0, 1]",Ssorprendida Son lindas pero muy pequeñas  y bastantes blandas pero bueno capaz x el precio está bien,negative
138,10810,MAL NO BUEN ENCASTR CAE ROMP,"[0, 1]",Malo El espejo no tiene buen encastre se cae ya se me rompió,negative
139,16053,MAL NO ERA ESPER MAL CALID,"[0, 1]",Malo No era lo que esperaba mala calidad,negative
